"Date&Time","cooling_id","location_ID","item_name","quantity","Harvesting_id","Mobile_ID","subsequent_id","is_contaminated"
"2023-01-01T17:16:07","C1",51,"cilantro",7336,"H1",37,"IP1","false"
"2023-02-09T10:51:51","C2",29,"Tomatoes",4160,"H2",21,"IP2","false"
"2022-03-30T17:46:59","C3",15,"kale",2156,"H3",11,"IP3","false"
"2022-04-06T16:24:32","C4",24,"melons",3394,"H4",17,"IP4","true"
"2023-01-24T00:13:28","C5",68,"sweet potato",9681,"H5",48,"IP5","true"
"2022-06-20T05:26:30","C6",1,"lettuce",161,"H6",1,"IP6","false"
"2023-01-06T11:16:32","C7",67,"sweet potato",9641,"H7",48,"IP7","true"
"2022-09-19T13:53:03","C8",66,"sweet potato",9405,"H8",47,"IP8","false"
"2022-11-03T12:33:57","C9",66,"sweet potato",9477,"H9",47,"IP9","false"
"2023-03-12T03:31:30","C10",66,"sweet potato",9377,"H10",47,"IP10","false"
"2022-05-12T20:36:57","C11",28,"Tomatoes",4032,"H11",20,"IP11","false"
"2022-08-12T22:35:53","C12",25,"melons",3540,"H12",18,"IP12","false"
"2022-04-15T19:39:11","C13",21,"melons",3011,"H13",15,"IP13","false"
"2023-01-30T14:04:50","C14",36,"bell peppers",5114,"H14",26,"IP14","false"
"2022-06-12T22:02:47","C15",9,"spinach",1248,"H15",7,"IP15","false"
"2022-06-20T14:12:42","C16",54,"cilantro",7728,"H16",39,"IP16","false"
"2022-03-27T19:37:30","C17",47,"basil",6633,"H17",33,"IP17","true"
"2023-03-13T14:36:14","C18",12,"kale",1652,"H18",9,"IP18","false"
"2023-01-24T08:59:40","C19",27,"Tomatoes",3844,"H19",20,"IP19","false"
"2022-07-26T00:52:45","C20",11,"spinach",1484,"H20",8,"IP20","true"
"2022-06-30T10:59:43","C21",49,"basil",6980,"H21",35,"IP21","true"
"2023-03-13T23:22:25","C22",57,"parsley",8072,"H22",40,"IP22","false"
"2022-04-18T00:16:18","C23",1,"lettuce",150,"H23",1,"IP23","false"
"2022-08-20T23:31:58","C24",37,"bell peppers",5279,"H24",27,"IP24","false"
"2022-09-01T07:23:45","C25",52,"cilantro",7465,"H25",37,"IP25","true"
"2022-05-30T00:47:43","C26",11,"spinach",1506,"H26",8,"IP26","false"
"2022-08-02T17:02:40","C27",34,"Cucumbers",4869,"H27",25,"IP27","false"
"2022-08-13T07:22:04","C28",39,"bell peppers",5491,"H28",28,"IP28","true"
"2022-05-31T11:52:27","C29",41,"chili peppers",5813,"H29",29,"IP29","false"
"2023-02-05T10:23:48","C30",15,"kale",2129,"H30",11,"IP30","false"
"2023-02-23T16:53:07","C31",44,"chili peppers",6271,"H31",32,"IP31","true"
"2023-02-07T15:00:55","C32",14,"kale",1929,"H32",10,"IP32","false"
"2022-09-26T21:16:47","C33",2,"lettuce",206,"H33",2,"IP33","false"
"2023-02-17T20:34:08","C34",12,"kale",1694,"H34",9,"IP34","true"
"2022-07-20T04:33:46","C35",13,"kale",1863,"H35",10,"IP35","false"
"2022-05-23T10:56:21","C36",38,"bell peppers",5450,"H36",27,"IP36","false"
"2022-12-06T09:50:43","C37",68,"sweet potato",9741,"H37",49,"IP37","true"
"2022-08-31T22:37:34","C38",18,"arugula",2530,"H38",13,"IP38","false"
"2022-04-07T01:10:43","C39",28,"Tomatoes",4006,"H39",20,"IP39","false"
"2022-12-14T02:00:37","C40",16,"arugula",2254,"H40",12,"IP40","false"
"2022-11-22T21:21:49","C41",31,"Cucumbers",4377,"H41",22,"IP41","false"
"2022-06-15T20:12:16","C42",17,"arugula",2408,"H42",12,"IP42","false"
"2022-09-21T09:43:59","C43",62,"potato",8910,"H43",45,"IP43","false"
"2022-05-02T23:49:56","C44",4,"lettuce",479,"H44",3,"IP44","false"
"2023-03-07T00:44:53","C45",42,"chili peppers",5965,"H45",30,"IP45","false"
"2022-10-30T20:52:06","C46",46,"basil",6586,"H46",33,"IP46","false"
"2022-07-06T16:04:53","C47",9,"spinach",1286,"H47",7,"IP47","false"
"2022-06-26T01:45:29","C48",46,"basil",6560,"H48",33,"IP48","true"
"2022-09-15T22:11:12","C49",69,"sweet potato",9845,"H49",49,"IP49","false"
"2022-05-27T02:38:13","C50",15,"kale",2147,"H50",11,"IP50","false"
"2022-11-17T18:35:13","C51",27,"Tomatoes",3809,"H51",19,"IP51","true"
"2022-04-17T06:43:55","C52",33,"Cucumbers",4687,"H52",24,"IP52","false"
"2023-02-12T00:15:09","C53",24,"melons",3403,"H53",17,"IP53","false"
"2022-06-25T16:59:18","C54",32,"Cucumbers",4488,"H54",23,"IP54","false"
"2022-11-27T15:22:15","C55",36,"bell peppers",5091,"H55",26,"IP55","false"
"2023-01-19T06:13:03","C56",70,"sweet potato",9990,"H56",50,"IP56","false"
"2022-08-04T04:07:25","C57",44,"chili peppers",6341,"H57",32,"IP57","false"
"2022-05-28T04:56:47","C58",64,"potato",9105,"H58",46,"IP58","false"
"2022-07-26T09:38:56","C59",36,"bell peppers",5126,"H59",26,"IP59","false"
"2022-04-21T15:58:10","C60",35,"Cucumbers",4965,"H60",25,"IP60","false"
"2022-12-12T14:55:53","C61",31,"Cucumbers",4345,"H61",22,"IP61","false"
"2022-10-09T07:27:06","C62",22,"melons",3150,"H62",16,"IP62","false"
"2022-05-25T15:33:28","C63",50,"cilantro",7201,"H63",36,"IP63","true"
"2023-02-12T09:01:21","C64",67,"sweet potato",9628,"H64",48,"IP64","false"
"2022-11-13T09:20:59","C65",15,"kale",2174,"H65",11,"IP65","false"
"2022-05-02T15:03:45","C66",13,"kale",1809,"H66",9,"IP66","false"
"2023-03-05T13:40:08","C67",39,"bell peppers",5535,"H67",28,"IP67","true"
"2022-06-27T12:50:14","C68",39,"bell peppers",5599,"H68",28,"IP68","false"
"2022-05-15T18:46:27","C69",42,"chili peppers",5919,"H69",30,"IP69","false"
"2022-06-07T19:16:11","C70",55,"parsley",7913,"H70",40,"IP70","false"
"2023-02-26T23:48:47","C71",49,"basil",7020,"H71",35,"IP71","true"
"2022-12-11T03:51:08","C72",15,"kale",2126,"H72",11,"IP72","false"
"2022-03-25T15:00:23","C73",19,"arugula",2624,"H73",13,"IP73","true"
"2022-04-14T17:20:37","C74",55,"cilantro",7801,"H74",39,"IP74","false"
"2022-11-03T03:47:46","C75",17,"arugula",2328,"H75",12,"IP75","false"
"2022-03-28T13:09:52","C76",69,"sweet potato",9833,"H76",49,"IP76","false"
"2022-12-02T18:08:51","C77",56,"parsley",8056,"H77",40,"IP77","false"
"2022-04-24T22:53:50","C78",59,"parsley",8380,"H78",42,"IP78","false"
"2022-06-28T06:22:36","C79",12,"kale",1715,"H79",9,"IP79","false"
"2022-03-28T04:23:41","C80",45,"chili peppers",6411,"H80",32,"IP80","false"
"2023-02-26T06:16:25","C81",2,"lettuce",187,"H81",1,"IP81","false"
"2022-06-09T15:07:06","C82",45,"chili peppers",6349,"H82",32,"IP82","false"
"2022-09-03T12:00:52","C83",15,"kale",2159,"H83",11,"IP83","false"
"2022-12-23T22:47:39","C84",62,"potato",8816,"H84",44,"IP84","true"
"2022-10-13T16:41:21","C85",50,"basil",7100,"H85",36,"IP85","false"
"2022-12-21T09:24:21","C86",51,"cilantro",7261,"H86",36,"IP86","true"
"2023-01-09T18:12:13","C87",36,"bell peppers",5144,"H87",26,"IP87","false"
"2022-05-19T01:42:07","C88",69,"sweet potato",9872,"H88",49,"IP88","false"
"2022-06-24T14:40:45","C89",12,"kale",1617,"H89",9,"IP89","false"
"2022-10-25T00:33:07","C90",50,"basil",7135,"H90",36,"IP90","false"
"2022-11-23T06:08:01","C91",58,"parsley",8257,"H91",41,"IP91","true"
"2022-07-05T22:32:31","C92",10,"spinach",1324,"H92",7,"IP92","false"
"2022-08-03T01:48:51","C93",44,"chili peppers",6208,"H93",31,"IP93","false"
"2022-06-02T07:43:23","C94",34,"Cucumbers",4870,"H94",25,"IP94","true"
"2022-06-05T05:52:52","C95",8,"spinach",1088,"H95",6,"IP95","false"
"2022-04-14T08:34:26","C96",44,"chili peppers",6210,"H96",31,"IP96","false"
"2022-05-14T07:41:42","C97",3,"lettuce",378,"H97",2,"IP97","false"
"2022-12-27T14:29:31","C98",42,"chili peppers",5955,"H98",30,"IP98","false"
"2022-04-20T13:39:36","C99",6,"spinach",823,"H99",5,"IP99","false"
"2022-11-15T13:58:06","C100",6,"spinach",833,"H100",5,"IP100","true"
"2022-12-17T00:10:07","C101",48,"basil",6831,"H101",34,"IP101","true"
"2022-06-10T17:25:40","C102",20,"arugula",2872,"H102",15,"IP102","true"
"2023-01-05T17:44:10","C103",43,"chili peppers",6079,"H103",31,"IP103","false"
"2022-11-11T22:16:14","C104",60,"parsley",8511,"H104",43,"IP104","false"
"2023-01-10T02:58:24","C105",25,"melons",3603,"H105",18,"IP105","false"
"2023-03-04T20:07:46","C106",42,"chili peppers",6026,"H106",30,"IP106","true"
"2023-01-31T07:37:12","C107",21,"melons",2992,"H107",15,"IP107","false"
"2022-12-22T20:29:05","C108",61,"potato",8777,"H108",44,"IP108","true"
"2022-12-15T13:05:22","C109",52,"cilantro",7468,"H109",37,"IP109","false"
"2022-09-26T12:30:35","C110",30,"Tomatoes",4290,"H110",22,"IP110","false"
"2022-10-01T06:31:01","C111",27,"Tomatoes",3821,"H111",19,"IP111","false"
"2022-08-16T05:31:33","C112",20,"arugula",2786,"H112",14,"IP112","false"
"2022-10-23T22:14:33","C113",51,"cilantro",7325,"H113",37,"IP113","false"
"2023-03-20T04:27:35","C114",62,"potato",8879,"H114",44,"IP114","false"
"2023-03-11T09:59:07","C115",4,"lettuce",533,"H115",3,"IP115","false"
"2022-07-21T15:38:31","C116",33,"Cucumbers",4631,"H116",23,"IP116","false"
"2022-11-23T14:54:12","C117",61,"potato",8638,"H117",43,"IP117","false"
"2023-01-16T08:03:34","C118",63,"potato",9029,"H118",45,"IP118","false"
"2023-03-15T01:40:59","C119",5,"lettuce",719,"H119",4,"IP119","false"
"2023-01-04T15:25:36","C120",54,"cilantro",7662,"H120",38,"IP120","true"
"2022-10-08T13:54:44","C121",31,"Tomatoes",4334,"H121",22,"IP121","false"
"2023-01-27T07:09:09","C122",70,"sweet potato",9992,"H122",50,"IP122","true"
"2022-10-26T20:24:03","C123",5,"lettuce",713,"H123",4,"IP123","false"
"2022-08-27T22:09:31","C124",41,"chili peppers",5905,"H124",30,"IP124","false"
"2023-02-02T03:28:08","C125",40,"bell peppers",5716,"H125",29,"IP125","false"
"2022-09-22T20:48:44","C126",47,"basil",6654,"H126",33,"IP126","false"
"2022-08-14T18:26:48","C127",64,"potato",9082,"H127",45,"IP127","false"
"2022-12-24T07:33:50","C128",18,"arugula",2540,"H128",13,"IP128","false"
"2022-07-28T05:29:52","C129",18,"arugula",2560,"H129",13,"IP129","false"
"2022-12-29T19:06:38","C130",50,"basil",7098,"H130",36,"IP130","false"
"2022-09-28T08:21:31","C131",24,"melons",3443,"H131",18,"IP131","true"
"2022-10-26T11:37:52","C132",43,"chili peppers",6113,"H132",31,"IP132","false"
"2022-05-04T19:40:52","C133",23,"melons",3223,"H133",16,"IP133","false"
"2022-09-10T10:38:24","C134",3,"lettuce",342,"H134",2,"IP134","false"
"2022-11-04T14:52:31","C135",32,"Cucumbers",4565,"H135",23,"IP135","true"
"2022-08-07T19:49:16","C136",26,"Tomatoes",3754,"H136",19,"IP136","true"
"2022-04-21T07:11:58","C137",33,"Cucumbers",4692,"H137",24,"IP137","false"
"2022-10-15T21:18:28","C138",13,"kale",1855,"H138",10,"IP138","false"
"2022-07-12T03:37:41","C139",48,"basil",6794,"H139",34,"IP139","false"
"2022-12-01T07:04:06","C140",50,"cilantro",7184,"H140",36,"IP140","false"
"2022-05-30T09:33:54","C141",52,"cilantro",7459,"H141",37,"IP141","false"
"2022-10-22T11:09:49","C142",65,"sweet potato",9298,"H142",47,"IP142","true"
"2023-03-04T11:21:35","C143",42,"chili peppers",5940,"H143",30,"IP143","false"
"2022-10-07T11:36:11","C144",45,"basil",6476,"H144",33,"IP144","false"
"2022-10-31T05:38:17","C145",9,"spinach",1194,"H145",6,"IP145","true"
"2022-12-22T11:42:54","C146",54,"cilantro",7769,"H146",39,"IP146","false"
"2023-01-14T20:58:49","C147",22,"melons",3134,"H147",16,"IP147","true"
"2022-09-04T14:19:25","C148",62,"potato",8818,"H148",44,"IP148","false"
"2022-04-15T02:06:48","C149",44,"chili peppers",6341,"H149",32,"IP149","false"
"2022-07-01T22:04:28","C150",65,"sweet potato",9296,"H150",47,"IP150","false"
"2022-08-12T05:03:30","C151",15,"kale",2047,"H151",11,"IP151","true"
"2022-07-27T03:11:19","C152",53,"cilantro",7571,"H152",38,"IP152","false"
"2022-04-18T09:02:29","C153",12,"kale",1661,"H153",9,"IP153","false"
"2022-12-28T16:48:04","C154",4,"lettuce",518,"H154",3,"IP154","false"
"2022-04-15T10:53","C155",27,"Tomatoes",3848,"H155",20,"IP155","true"
"2022-04-04T11:47:25","C156",55,"parsley",7887,"H156",40,"IP156","false"
"2022-06-14T09:07:32","C157",50,"basil",7156,"H157",36,"IP157","false"
"2022-06-03T10:01:57","C158",9,"spinach",1192,"H158",6,"IP158","false"
"2022-10-10T09:45:40","C159",54,"cilantro",7645,"H159",38,"IP159","false"
"2023-01-25T02:32:02","C160",3,"lettuce",398,"H160",2,"IP160","false"
"2023-02-27T08:34:59","C161",23,"melons",3235,"H161",17,"IP161","true"
"2022-06-12T13:16:36","C162",47,"basil",6704,"H162",34,"IP162","false"
"2022-09-15T04:38:49","C163",30,"Tomatoes",4322,"H163",22,"IP163","false"
"2022-05-21T06:19:14","C164",29,"Tomatoes",4066,"H164",21,"IP164","false"
"2022-06-11T02:11:51","C165",52,"cilantro",7463,"H165",37,"IP165","false"
"2022-12-04T05:13:36","C166",26,"Tomatoes",3717,"H166",19,"IP166","true"
"2022-09-29T10:40:05","C167",54,"cilantro",7661,"H167",38,"IP167","false"
"2023-03-17T23:50:28","C168",23,"melons",3294,"H168",17,"IP168","false"
"2022-07-24T13:48:01","C169",36,"bell peppers",5176,"H169",26,"IP169","false"
"2022-03-30T09:00:48","C170",34,"Cucumbers",4839,"H170",24,"IP170","false"
"2022-09-22T03:16:21","C171",10,"spinach",1399,"H171",7,"IP171","true"
"2023-03-12T21:03:52","C172",3,"lettuce",415,"H172",3,"IP172","false"
"2022-08-07T11:03:05","C173",32,"Cucumbers",4500,"H173",23,"IP173","false"
"2022-09-30T21:44:50","C174",49,"basil",6946,"H174",35,"IP174","true"
"2023-01-07T04:48:55","C175",51,"cilantro",7219,"H175",36,"IP175","false"
"2022-11-24T08:26:34","C176",55,"cilantro",7802,"H176",39,"IP176","false"
"2022-08-05T23:58:20","C177",21,"melons",2952,"H177",15,"IP177","false"
"2022-04-09T23:20:12","C178",55,"cilantro",7835,"H178",39,"IP178","false"
"2022-10-30T12:05:54","C179",68,"sweet potato",9666,"H179",48,"IP179","false"
"2022-07-17T06:24:17","C180",70,"sweet potato",9966,"H180",50,"IP180","true"
"2022-04-07T18:43:05","C181",17,"arugula",2467,"H181",13,"IP181","true"
"2022-04-23T03:02:54","C182",32,"Cucumbers",4507,"H182",23,"IP182","false"
"2022-05-13T22:55:31","C183",10,"spinach",1389,"H183",7,"IP183","false"
"2023-02-18T14:06:30","C184",17,"arugula",2421,"H184",12,"IP184","false"
"2022-08-18T10:08:40","C185",46,"basil",6595,"H185",33,"IP185","false"
"2022-12-13T17:14:26","C186",40,"chili peppers",5765,"H186",29,"IP186","true"
"2022-09-15T13:25","C187",39,"bell peppers",5604,"H187",28,"IP187","false"
"2023-01-05T00:11:48","C188",18,"arugula",2578,"H188",13,"IP188","false"
"2022-09-02T18:28:29","C189",64,"potato",9211,"H189",46,"IP189","false"
"2022-08-25T17:32:24","C190",51,"cilantro",7265,"H190",36,"IP190","false"
"2022-11-22T12:35:38","C191",55,"cilantro",7792,"H191",39,"IP191","false"
"2022-11-10T02:25:18","C192",18,"arugula",2499,"H192",13,"IP192","false"
"2022-10-14T18:59:54","C193",13,"kale",1839,"H193",10,"IP193","false"
"2022-10-10T18:31:51","C194",32,"Cucumbers",4503,"H194",23,"IP194","false"
"2022-10-01T15:17:12","C195",58,"parsley",8314,"H195",42,"IP195","true"
"2022-08-06T17:30:43","C196",43,"chili peppers",6059,"H196",30,"IP196","false"
"2022-10-03T02:21:57","C197",45,"chili peppers",6416,"H197",32,"IP197","false"
"2022-06-09T06:20:55","C198",22,"melons",3103,"H198",16,"IP198","false"
"2022-05-16T03:32:38","C199",6,"lettuce",747,"H199",4,"IP199","false"
"2022-06-18T00:49:23","C200",66,"sweet potato",9387,"H200",47,"IP200","false"
"2023-03-01T21:58:17","C201",19,"arugula",2738,"H201",14,"IP201","false"
"2022-10-29T09:47:21","C202",17,"arugula",2369,"H202",12,"IP202","true"
"2022-11-03T21:20:08","C203",22,"melons",3109,"H203",16,"IP203","false"
"2022-03-29T15:28:26","C204",27,"Tomatoes",3782,"H204",19,"IP204","false"
"2023-02-05T19:09:59","C205",60,"parsley",8586,"H205",43,"IP205","false"
"2023-03-14T08:08:37","C206",57,"parsley",8090,"H206",41,"IP206","false"
"2022-06-24T05:54:33","C207",28,"Tomatoes",3948,"H207",20,"IP207","false"
"2022-08-10T00:26:23","C208",19,"arugula",2726,"H208",14,"IP208","false"
"2023-03-03T09:03:01","C209",3,"lettuce",420,"H209",3,"IP209","false"
"2022-04-22T09:30:32","C210",47,"basil",6731,"H210",34,"IP210","false"
"2022-07-19T11:01:24","C211",6,"spinach",836,"H211",5,"IP211","false"
"2022-05-26T00:19:40","C212",43,"chili peppers",6130,"H212",31,"IP212","false"
"2022-04-05T14:05:58","C213",13,"kale",1869,"H213",10,"IP213","false"
"2022-11-04T23:38:42","C214",3,"lettuce",393,"H214",2,"IP214","false"
"2023-02-07T06:14:44","C215",50,"basil",7111,"H215",36,"IP215","false"
"2022-06-15T11:26:05","C216",20,"arugula",2850,"H216",15,"IP216","true"
"2022-11-25T01:58:56","C217",9,"spinach",1246,"H217",7,"IP217","false"
"2022-04-20T04:53:25","C218",49,"basil",6943,"H218",35,"IP218","false"
"2022-08-04T21:39:47","C219",25,"melons",3555,"H219",18,"IP219","false"
"2022-08-19T21:13:25","C220",17,"arugula",2359,"H220",12,"IP220","false"
"2023-02-14T22:24:39","C221",13,"kale",1759,"H221",9,"IP221","false"
"2023-01-19T23:45:26","C222",42,"chili peppers",5987,"H222",30,"IP222","false"
"2022-08-02T08:16:29","C223",57,"parsley",8118,"H223",41,"IP223","false"
"2022-07-23T11:29:27","C224",37,"bell peppers",5198,"H224",26,"IP224","false"
"2022-12-11T21:23:30","C225",25,"melons",3555,"H225",18,"IP225","false"
"2022-05-12T03:04:35","C226",5,"lettuce",626,"H226",4,"IP226","false"
"2023-02-08T08:33:18","C227",43,"chili peppers",6101,"H227",31,"IP227","true"
"2022-05-06T15:31:48","C228",48,"basil",6847,"H228",34,"IP228","false"
"2022-06-24T23:26:56","C229",41,"chili peppers",5879,"H229",30,"IP229","false"
"2022-06-01T22:57:12","C230",27,"Tomatoes",3761,"H230",19,"IP230","false"
"2022-04-19T11:21:03","C231",66,"sweet potato",9465,"H231",47,"IP231","false"
"2022-07-24T05:01:49","C232",48,"basil",6896,"H232",35,"IP232","false"
"2022-08-29T18:00:26","C233",16,"arugula",2323,"H233",12,"IP233","false"
"2022-04-16T21:57:44","C234",32,"Cucumbers",4502,"H234",23,"IP234","false"
"2023-03-18T17:22:51","C235",50,"basil",7105,"H235",36,"IP235","true"
"2023-01-28T18:13:54","C236",3,"lettuce",395,"H236",2,"IP236","false"
"2022-05-20T12:46:52","C237",46,"basil",6623,"H237",33,"IP237","false"
"2023-02-18T05:20:19","C238",23,"melons",3228,"H238",16,"IP238","false"
"2022-12-30T21:25:11","C239",57,"parsley",8176,"H239",41,"IP239","false"
"2022-04-17T15:30:07","C240",12,"kale",1640,"H240",9,"IP240","false"
"2022-07-28T14:16:03","C241",32,"Cucumbers",4589,"H241",23,"IP241","false"
"2023-02-22T23:20:45","C242",23,"melons",3265,"H242",17,"IP242","false"
"2022-06-08T04:02:22","C243",39,"bell peppers",5542,"H243",28,"IP243","true"
"2022-09-25T01:25:51","C244",37,"bell peppers",5270,"H244",27,"IP244","false"
"2022-03-26T08:32:45","C245",23,"melons",3222,"H245",16,"IP245","false"
"2022-08-04T12:53:36","C246",49,"basil",6992,"H246",35,"IP246","false"
"2023-03-03T17:49:13","C247",8,"spinach",1039,"H247",6,"IP247","false"
"2022-04-09T05:47:50","C248",67,"sweet potato",9592,"H248",48,"IP248","false"
"2022-09-20T16:11:37","C249",10,"spinach",1384,"H249",7,"IP249","false"
"2023-02-28T02:07:21","C250",3,"lettuce",334,"H250",2,"IP250","true"
"2022-03-23T01:37:05","C251",7,"spinach",939,"H251",5,"IP251","true"
"2022-09-08T14:47:28","C252",5,"lettuce",618,"H252",4,"IP252","false"
"2022-11-23T23:40:23","C253",33,"Cucumbers",4753,"H253",24,"IP253","true"
"2022-07-15T01:47:10","C254",58,"parsley",8215,"H254",41,"IP254","false"
"2022-11-30T13:31:44","C255",68,"sweet potato",9694,"H255",48,"IP255","false"
"2023-01-20T08:31:37","C256",25,"melons",3565,"H256",18,"IP256","true"
"2022-03-27T10:51:19","C257",20,"arugula",2802,"H257",14,"IP257","false"
"2022-08-20T05:59:36","C258",2,"lettuce",211,"H258",2,"IP258","false"
"2023-03-08T11:49:38","C259",56,"parsley",7961,"H259",40,"IP259","false"
"2022-05-03T08:36:07","C260",8,"spinach",1094,"H260",6,"IP260","false"
"2022-08-20T14:45:47","C261",58,"parsley",8208,"H261",41,"IP261","true"
"2023-03-10T07:40:34","C262",53,"cilantro",7504,"H262",38,"IP262","true"
"2022-09-22T12:02:33","C263",27,"Tomatoes",3861,"H263",20,"IP263","false"
"2022-09-19T05:06:52","C264",8,"spinach",1166,"H264",6,"IP264","false"
"2022-03-29T06:42:15","C265",54,"cilantro",7684,"H265",39,"IP265","false"
"2023-01-18T03:54:30","C266",15,"kale",2167,"H266",11,"IP266","false"
"2022-11-28T00:08:26","C267",66,"sweet potato",9457,"H267",47,"IP267","false"
"2022-05-31T20:38:38","C268",3,"lettuce",373,"H268",2,"IP268","false"
"2022-05-19T19:14:30","C269",53,"cilantro",7495,"H269",38,"IP269","false"
"2022-11-28T08:54:37","C270",45,"chili peppers",6400,"H270",32,"IP270","true"
"2022-12-06T18:36:54","C271",66,"sweet potato",9392,"H271",47,"IP271","false"
"2022-09-29T19:26:16","C272",7,"spinach",1029,"H272",6,"IP272","true"
"2023-02-06T03:56:11","C273",67,"sweet potato",9601,"H273",48,"IP273","true"
"2022-04-06T07:38:20","C274",57,"parsley",8206,"H274",41,"IP274","false"
"2022-12-26T03:24:46","C275",16,"arugula",2227,"H275",12,"IP275","false"
"2022-04-30T10:26:38","C276",59,"parsley",8354,"H276",42,"IP276","false"
"2022-04-22T18:16:43","C277",19,"arugula",2632,"H277",14,"IP277","false"
"2022-11-07T04:15:49","C278",45,"chili peppers",6442,"H278",32,"IP278","false"
"2022-05-24T13:14:55","C279",50,"cilantro",7193,"H279",36,"IP279","true"
"2022-10-24T07:00:45","C280",56,"parsley",8038,"H280",40,"IP280","false"
"2023-02-21T12:16","C281",33,"Cucumbers",4668,"H281",24,"IP281","true"
"2022-12-26T20:57:08","C282",9,"spinach",1284,"H282",7,"IP282","false"
"2022-08-27T13:23:19","C283",36,"bell peppers",5155,"H283",26,"IP283","false"
"2022-12-29T10:20:26","C284",52,"cilantro",7455,"H284",37,"IP284","true"
"2022-10-23T13:28:22","C285",5,"lettuce",663,"H285",4,"IP285","false"
"2022-05-05T04:27:03","C286",40,"bell peppers",5642,"H286",28,"IP286","false"
"2022-10-28T07:28:47","C287",26,"Tomatoes",3743,"H287",19,"IP287","false"
"2022-08-01T05:57:55","C288",62,"potato",8834,"H288",44,"IP288","true"
"2022-07-22T09:10:54","C289",62,"potato",8812,"H289",44,"IP289","false"
"2022-04-23T11:49:05","C290",5,"lettuce",699,"H290",4,"IP290","false"
"2023-03-03T00:16:50","C291",6,"spinach",810,"H291",5,"IP291","false"
"2022-09-18T02:48:19","C292",17,"arugula",2370,"H292",12,"IP292","false"
