row ID,Field_ID,Field Number,Field_Type,Field_Name
Row5,1,D,Pond,Pond D
Row15,2,I ,Lot,Lot I 
Row21,3,A,Seabed,Seabed A
Row29,4,I ,Lot,Lot I 
Row30,5,G,Lawn,Lawn G
Row39,6,E,Pond,Pond E
Row46,7,J,Lot,Lot J
Row54,8,H,Lawn,Lawn H
Row57,9,D,Pond,Pond D
Row61,10,C,Seabed,Seabed C
Row62,11,B,Seabed,Seabed B
Row70,12,D,Pond,Pond D
Row79,13,C,Pond,Pond C
Row88,14,J,Lot,Lot J
Row90,15,J,Lot,Lot J
Row95,16,A,Seabed,Seabed A
Row103,17,J,Lot,Lot J
Row107,18,J,Lot,Lot J
Row110,19,H,Lawn,Lawn H
Row115,20,C,Seabed,Seabed C
Row123,21,D,Pond,Pond D
Row128,22,H,Lawn,Lawn H
Row138,23,H,Lawn,Lawn H
Row147,24,B,Seabed,Seabed B
Row150,25,B,Seabed,Seabed B
Row152,26,I ,Lot,Lot I 
Row160,27,F,Lawn,Lawn F
Row165,28,F,Lawn,Lawn F
Row168,29,F,Lawn,Lawn F
Row177,30,D,Pond,Pond D
Row184,31,B,Seabed,Seabed B
Row185,32,E,Pond,Pond E
Row194,33,A,Seabed,Seabed A
Row201,34,C,Pond,Pond C
Row207,35,C,Pond,Pond C
Row215,36,I ,Lot,Lot I 
Row223,37,F,Lawn,Lawn F
Row229,38,E,Pond,Pond E
Row235,39,I ,Lot,Lot I 
Row242,40,C,Seabed,Seabed C
Row249,41,J,Lot,Lot J
Row259,42,A,Seabed,Seabed A
Row265,43,G,Lawn,Lawn G
Row275,44,E,Pond,Pond E
Row283,45,B,Seabed,Seabed B
Row288,46,D,Pond,Pond D
Row295,47,D,Pond,Pond D
Row296,48,D,Pond,Pond D
Row304,49,E,Pond,Pond E
Row310,50,A,Seabed,Seabed A
