"Harvested_Date","Mobile_id","location_id","Lot_ID","Date&Time","IP_ID","Item_Name","Quantity","Harvesting_ID","Field_ID","Date of Cooling","IP_Date","Subsequent_ID","Outbreak"
"2023-06-15",105,49,"LOT3001_IP_2023-06-15_49","2022-03-22","IP3001","Cheese Curds Cheese",413,"H3001",18,"2022-03-23","2022-03-23","R3001","no"
"2023-03-31",252,116,"LOT3002_IP_2023-03-31_116","2023-03-10","IP3002","Havati Cheese",855,"H3002",42,"2023-03-09","2023-03-09","R3002","no"
"2023-04-13",12,6,"LOT3003_IP_2023-04-13_6","2023-01-09","IP3003","Mozarilla Cheese",132,"H3003",3,"2023-01-09","2023-01-09","R3003","no"
"2023-03-27",265,122,"LOT3004_IP_2023-03-27_122","2023-03-27","IP3004","Jarlsberg Cheese",894,"H3004",44,"2023-03-26","2023-03-26","R3004","no"
"2023-05-28",192,88,"LOT3005_IP_2023-05-28_88","2022-06-17","IP3005","Emmental Cheese",674,"H3005",32,"2022-06-17","2022-06-17","R3005","no"
"2023-03-31",135,62,"LOT3006_IP_2023-03-31_62","2023-03-12","IP3006","Colby Cheese",503,"H3006",23,"2023-03-11","2023-03-11","R3006","no"
"2023-07-20",274,126,"LOT3007_IP_2023-07-20_126","2021-10-14","IP3007","Limburger Cheese",922,"H3007",46,"2021-10-15","2021-10-15","R3007","yes"
"2023-04-11",223,103,"LOT3008_IP_2023-04-11_103","2023-01-18","IP3008","Farmer Made Organic Cheese",768,"H3008",37,"2023-01-17","2023-01-17","R3008","no"
"2023-07-08",94,43,"LOT3009_IP_2023-07-08_43","2021-12-07","IP3009","Cheddar Mix Cheese",379,"H3009",16,"2021-12-07","2021-12-07","R3009","no"
"2023-07-27",61,28,"LOT3010_IP_2023-07-27_28","2021-09-08","IP3010","Brie Cheese",280,"H3010",11,"2021-09-09","2021-09-09","R3010","no"
"2023-05-20",46,22,"LOT3011_IP_2023-05-20_22","2022-07-22","IP3011","Bocconcini Cheese",237,"H3011",8,"2022-07-22","2022-07-22","R3011","no"
"2023-06-28",109,51,"LOT3012_IP_2023-06-28_51","2022-01-21","IP3012","Pepper Jack Cheese",426,"H3012",19,"2022-01-22","2022-01-22","R3012","no"
"2023-07-13",86,40,"LOT3013_IP_2023-07-13_40","2021-11-15","IP3013","Camembert Cheese",355,"H3013",15,"2021-11-15","2021-11-15","R3013","no"
"2023-05-20",282,130,"LOT3014_IP_2023-05-20_130","2022-07-19","IP3014","Monterey Jack Cheese",946,"H3014",47,"2022-07-19","2022-07-19","R3014","yes"
"2023-04-17",291,134,"LOT3015_IP_2023-04-17_134","2022-12-20","IP3015","Grated Parmesan Cheese",972,"H3015",48,"2022-12-20","2022-12-20","R3015","yes"
"2023-04-10",19,9,"LOT3016_IP_2023-04-10_9","2023-01-21","IP3016","Mozarilla Cheese",154,"H3016",4,"2023-01-21","2023-01-21","R3016","no"
"2023-04-15",296,136,"LOT3017_IP_2023-04-15_136","2022-12-31","IP3017","Grated Parmesan Cheese",987,"H3017",49,"2022-12-30","2022-12-30","R3017","yes"
"2023-06-09",278,128,"LOT3018_IP_2023-06-09_128","2022-04-21","IP3018","Limburger Cheese",933,"H3018",46,"2022-04-21","2022-04-21","R3018","yes"
"2023-07-04",224,103,"LOT3019_IP_2023-07-04_103","2021-12-25","IP3019","Farmer Made Organic Cheese",770,"H3019",37,"2021-12-25","2021-12-25","R3019","no"
"2023-06-08",64,30,"LOT3020_IP_2023-06-08_30","2022-04-25","IP3020","Brie Cheese",290,"H3020",11,"2022-04-25","2022-04-25","R3020","no"
"2023-08-02",113,52,"LOT3021_IP_2023-08-02_52","2021-08-15","IP3021","Pepper Jack Cheese",437,"H3021",19,"2021-08-16","2021-08-16","R3021","no"
"2023-04-25",215,99,"LOT3022_IP_2023-04-25_99","2022-11-13","IP3022","Gorgonzola Cheese",743,"H3022",36,"2022-11-12","2022-11-12","R3022","no"
"2023-07-19",215,99,"LOT3023_IP_2023-07-19_99","2021-10-15","IP3023","Farmer Made Organic Cheese",744,"H3023",36,"2021-10-16","2021-10-16","R3023","no"
"2023-06-27",44,21,"LOT3024_IP_2023-06-27_21","2022-01-27","IP3024","Bocconcini Cheese",230,"H3024",8,"2022-01-28","2022-01-28","R3024","no"
"2023-04-07",56,26,"LOT3025_IP_2023-04-07_26","2023-02-04","IP3025","Brie Cheese",266,"H3025",10,"2023-02-03","2023-02-03","R3025","no"
"2023-07-21",261,120,"LOT3026_IP_2023-07-21_120","2021-10-06","IP3026","Jarlsberg Cheese",883,"H3026",44,"2021-10-07","2021-10-07","R3026","no"
"2023-04-24",158,73,"LOT3027_IP_2023-04-24_73","2022-11-20","IP3027","Cotija Cheese",573,"H3027",27,"2022-11-20","2022-11-20","R3027","no"
"2023-05-07",172,80,"LOT3028_IP_2023-05-07_80","2022-09-18","IP3028","Creame Cheese",616,"H3028",29,"2022-09-18","2022-09-18","R3028","no"
"2023-06-20",164,76,"LOT3029_IP_2023-06-20_76","2022-02-27","IP3029","Cottage Cheese",591,"H3029",28,"2022-02-27","2022-02-27","R3029","no"
"2023-07-29",114,53,"LOT3030_IP_2023-07-29_53","2021-08-31","IP3030","Pepper Jack Cheese",440,"H3030",20,"2021-09-01","2021-09-01","R3030","no"
"2023-06-13",38,18,"LOT3031_IP_2023-06-13_18","2022-03-31","IP3031","Asiago Cheese",212,"H3031",7,"2022-04-01","2022-04-01","R3031","no"
"2023-06-11",126,58,"LOT3032_IP_2023-06-11_58","2022-04-09","IP3032","Swiss Cheese",476,"H3032",21,"2022-04-10","2022-04-10","R3032","no"
"2023-04-28",30,14,"LOT3033_IP_2023-04-28_14","2022-11-02","IP3033","American Cheese",186,"H3033",6,"2022-11-02","2022-11-02","SP33","no"
"2023-06-06",78,36,"LOT3034_IP_2023-06-06_36","2022-05-04","IP3034","Camembert Cheese",333,"H3034",14,"2022-05-04","2022-05-04","R3034","no"
"2023-04-29",77,36,"LOT3035_IP_2023-04-29_36","2022-10-26","IP3035","Camembert Cheese",328,"H3035",13,"2022-10-25","2022-10-25","R3035","no"
"2023-07-09",267,123,"LOT3036_IP_2023-07-09_123","2021-11-30","IP3036","Jarlsberg Cheese",900,"H3036",45,"2021-12-01","2021-12-01","R3036","no"
"2023-07-03",154,71,"LOT3037_IP_2023-07-03_71","2021-12-31","IP3037","Cotija Cheese",562,"H3037",26,"2021-12-31","2021-12-31","R3037","no"
"2023-03-28",148,68,"LOT3038_IP_2023-03-28_68","2023-03-22","IP3038","Cold_Pack Cheese",541,"H3038",25,"2023-03-21","2023-03-21","R3038","no"
"2023-07-04",242,111,"LOT3039_IP_2023-07-04_111","2021-12-25","IP3039","Gruyere Cheese",825,"H3039",40,"2021-12-26","2021-12-26","R3039","no"
"2023-07-17",64,30,"LOT3040_IP_2023-07-17_30","2021-10-27","IP3040","Brie Cheese",290,"H3040",11,"2021-10-28","2021-10-28","R3040","no"
"2023-05-05",285,131,"LOT3041_IP_2023-05-05_131","2022-09-27","IP3041","Monterey Jack Cheese",955,"H3041",48,"2022-09-26","2022-09-26","R3041","yes"
"2023-07-25",9,5,"LOT3042_IP_2023-07-25_5","2021-09-17","IP3042","Blue Cheese",125,"H3042",2,"2021-09-18","2021-09-18","R3042","no"
"2023-05-02",205,95,"LOT3043_IP_2023-05-02_95","2022-10-14","IP3043","Gorgonzola Cheese",715,"H3043",34,"2022-10-13","2022-10-13","R3043","no"
"2023-04-10",130,60,"LOT3044_IP_2023-04-10_60","2023-01-22","IP3044","Colby Cheese",490,"H3044",22,"2023-01-22","2023-01-22","R3044","no"
"2023-04-18",58,27,"LOT3045_IP_2023-04-18_27","2022-12-16","IP3045","Brie Cheese",273,"H3045",10,"2022-12-15","2022-12-15","R3045","no"
"2023-07-23",120,56,"LOT3046_IP_2023-07-23_56","2021-09-27","IP3046","Swiss Cheese",458,"H3046",21,"2021-09-28","2021-09-28","R3046","no"
"2023-04-14",114,53,"LOT3047_IP_2023-04-14_53","2023-01-05","IP3047","Pepper Jack Cheese",440,"H3047",20,"2023-01-04","2023-01-04","R3047","no"
"2023-05-29",105,49,"LOT3048_IP_2023-05-29_49","2022-06-08","IP3048","Cheese Curds Cheese",413,"H3048",18,"2022-06-08","2022-06-08","R3048","no"
"2023-05-18",150,69,"LOT3049_IP_2023-05-18_69","2022-07-28","IP3049","Cold_Pack Cheese",548,"H3049",25,"2022-07-28","2022-07-28","R3049","no"
"2023-06-10",26,13,"LOT3050_IP_2023-06-10_13","2022-04-17","IP3050","American Cheese",176,"H3050",5,"2022-04-17","2022-04-17","SP50","no"
"2023-04-07",119,55,"LOT3051_IP_2023-04-07_55","2023-02-04","IP3051","Swiss Cheese",455,"H3051",20,"2023-02-03","2023-02-03","R3051","no"
"2023-05-09",200,92,"LOT3052_IP_2023-05-09_92","2022-09-08","IP3052","Feta Cheese",700,"H3052",34,"2022-09-08","2022-09-08","R3052","no"
"2023-04-14",293,135,"LOT3053_IP_2023-04-14_135","2023-01-02","IP3053","Grated Parmesan Cheese",980,"H3053",49,"2023-01-01","2023-01-01","R3053","yes"
"2023-04-20",195,90,"LOT3054_IP_2023-04-20_90","2022-12-07","IP3054","Feta Cheese",685,"H3054",33,"2022-12-07","2022-12-07","R3054","no"
"2023-06-22",245,113,"LOT3055_IP_2023-06-22_113","2022-02-18","IP3055","Gruyere Cheese",833,"H3055",41,"2022-02-18","2022-02-18","R3055","no"
"2023-05-23",74,34,"LOT3056_IP_2023-05-23_34","2022-07-08","IP3056"," Burrata Cheese",319,"H3056",13,"2022-07-08","2022-07-08","R3056","no"
"2023-05-16",17,8,"LOT3057_IP_2023-05-16_8","2022-08-08","IP3057","Mozarilla Cheese",149,"H3057",4,"2022-08-08","2022-08-08","R3057","no"
