"Date of Cooling","Location_ID","Lot_ID","Sprouts_receipt Date","Initial_Packing_Date","Subsequent_ID","Harvested_Date","IP_ID","Item_Type","Quantity","Harvesting_ID","Field_ID","Mobile_ID","Outbreak"
"R3001",49,"LOT3001 2022-03-10_49","2022-03-23","2022-03-24","3001","2022-03-10","IP3001","Wheatgrass Sprouts",478,522,18,105,"no"
"R3002",116,"LOT3002 2023-02-12_116","2023-03-10","2023-03-10","3002","2023-02-12","IP3002","Pea Sprouts",871,1258,42,252,"no"
"R3003",6,"LOT3003 2022-12-17_6","2023-01-10","2023-01-10","3003","2022-12-17","IP3003","Alfalfa Sprouts",229,55,3,12,"no"
"R3004",122,"LOT3004 2023-02-28_122","2023-03-27","2023-03-27","3004","2023-02-28","IP3004","Seasame Sprouts",906,1323,44,265,"no"
"R3005",88,"LOT3005 2022-06-01_88","2022-06-17","2022-06-18","3005","2022-06-01","IP3005","Green Lentil Sprouts",710,956,32,192,"no"
"R3006",62,"LOT3006 2023-02-13_62","2023-03-12","2023-03-12","3006","2023-02-13","IP3006","Pumpkin Seed Sprouts",558,672,23,135,"no"
"R3007",126,"LOT3007 2021-10-08_126","2021-10-15","2021-10-16","3007","2021-10-08","IP3007","Seasame Sprouts",930,1369,46,274,"yes"
"R3008",103,"LOT3008 2022-12-25_103","2023-01-18","2023-01-18","3008","2022-12-25","IP3008","Onion Sprouts",793,1113,37,223,"no"
"R3009",43,"LOT3009 2021-11-29_43","2021-12-08","2021-12-08","3009","2021-11-29","IP3009","Brocolli Sprouts",448,465,16,94,"no"
"R3010",28,"LOT3010 2021-09-03_28","2021-09-09","2021-09-10","3010","2021-09-03","IP3010","Radish Srpouts",360,301,11,61,"no"
"R3011",22,"LOT3011 2022-07-05_22","2022-07-23","2022-07-23","3011","2022-07-05","IP3011","Red Clover Sprouts",322,229,8,46,"no"
"R3012",51,"LOT3012 2022-01-12_51","2022-01-22","2022-01-23","3012","2022-01-12","IP3012","Wheatgrass Sprouts",490,544,19,109,"no"
"R3013",40,"LOT3013 2021-11-07_40","2021-11-15","2021-11-16","3013","2021-11-07","IP3013","Brocolli Sprouts",427,426,15,86,"no"
"R3014",130,"LOT3014 2022-07-02_130","2022-07-20","2022-07-20","3014","2022-07-02","IP3014","Chickpeas Sprouts",952,1410,47,282,"yes"
"R3015",134,"LOT3015 2022-11-27_134","2022-12-20","2022-12-21","3015","2022-11-27","IP3015","Chickpeas Sprouts",975,1453,48,291,"yes"
"R3016",9,"LOT3016 2022-12-28_9","2023-01-22","2023-01-22","3016","2022-12-28","IP3016","Alfalfa Sprouts",248,91,4,19,"no"
"R3017",136,"LOT3017 2022-12-08_136","2022-12-31","2022-12-31","3017","2022-12-08","IP3017","Chickpeas Sprouts",989,1479,49,296,"yes"
"R3018",128,"LOT3018 2022-04-08_128","2022-04-22","2022-04-22","3018","2022-04-08","IP3018","Seasame Sprouts",940,1388,46,278,"yes"
"R3019",103,"LOT3019 2021-12-16_103","2021-12-26","2021-12-26","3019","2021-12-16","IP3019","Onion Sprouts",796,1117,37,224,"no"
"R3020",30,"LOT3020 2022-04-11_30","2022-04-25","2022-04-26","3020","2022-04-11","IP3020","Radish Srpouts",369,317,11,64,"no"
"R3021",52,"LOT3021 2021-08-11_52","2021-08-16","2021-08-17","3021","2021-08-11","IP3021","Wheatgrass Sprouts",499,562,19,113,"no"
"R3022",99,"LOT3022 2022-10-22_99","2022-11-13","2022-11-13","3022","2022-10-22","IP3022","Onion Sprouts",771,1072,36,215,"no"
"R3023",99,"LOT3023 2021-10-09_99","2021-10-16","2021-10-17","3023","2021-10-09","IP3023","Onion Sprouts",773,1074,36,215,"no"
"R3024",21,"LOT3024 2022-01-17_21","2022-01-28","2022-01-29","3024","2022-01-17","IP3024","Red Clover Sprouts",315,217,8,44,"no"
"R3025",26,"LOT3025 2023-01-10_26","2023-02-04","2023-02-04","3025","2023-01-10","IP3025","Red Clover Sprouts",347,277,10,56,"no"
"R3026",120,"LOT3026 2021-10-01_120","2021-10-07","2021-10-08","3026","2021-10-01","IP3026","Pea Sprouts",896,1305,44,261,"no"
"R3027",73,"LOT3027 2022-10-29_73","2022-11-20","2022-11-21","3027","2022-10-29","IP3027","Mustard Sprouts",621,789,27,158,"no"
"R3028",80,"LOT3028 2022-08-30_80","2022-09-19","2022-09-19","3028","2022-08-30","IP3028","Soybean Sprouts",659,860,29,172,"no"
"R3029",76,"LOT3029 2022-02-16_76","2022-02-28","2022-02-28","3029","2022-02-16","IP3029","Mustard Sprouts",636,818,28,164,"no"
"R3030",53,"LOT3030 2021-08-27_53","2021-09-01","2021-09-02","3030","2021-08-27","IP3030","Kidney-Bean Sprouts",502,568,20,114,"no"
"R3031",18,"LOT3031 2022-03-19_18","2022-04-01","2022-04-02","3031","2022-03-19","IP3031","Mung Bean Sprouts",299,187,7,38,"no"
"R3032",58,"LOT3032 2022-03-27_58","2022-04-10","2022-04-11","3032","2022-03-27","IP3032","Kidney-Bean Sprouts",534,628,21,126,"no"
"R3033",14,"LOT3033 2022-10-12_14","2022-11-02","2022-11-03","3033","2022-10-12","IP3033","Mung Bean Sprouts",276,144,6,30,"no"
"R3034",36,"LOT3034 2022-04-20_36","2022-05-05","2022-05-05","3034","2022-04-20","IP3034","Brocolli Sprouts",407,389,14,78,"no"
"R3035",36,"LOT3035 2022-10-05_36","2022-10-26","2022-10-26","3035","2022-10-05","IP3035","Brocolli Sprouts",402,380,13,77,"no"
"R3036",123,"LOT3036 2021-11-23_123","2021-12-01","2021-12-02","3036","2021-11-23","IP3036","Seasame Sprouts",911,1333,45,267,"no"
"R3037",71,"LOT3037 2021-12-22_71","2022-01-01","2022-01-01","3037","2021-12-22","IP3037","Mustard Sprouts",610,770,26,154,"no"
"R3038",68,"LOT3038 2023-02-23_68","2023-03-22","2023-03-22","3038","2023-02-23","IP3038","Pumpkin Seed Sprouts",592,736,25,148,"no"
"R3039",111,"LOT3039 2021-12-16_111","2021-12-26","2021-12-27","3039","2021-12-16","IP3039","Sunflower Sprouts",844,1208,40,242,"no"
"R3040",30,"LOT3040 2021-10-21_30","2021-10-28","2021-10-29","3040","2021-10-21","IP3040","Radish Srpouts",369,317,11,64,"no"
"R3041",131,"LOT3041 2022-09-07_131","2022-09-27","2022-09-27","3041","2022-09-07","IP3041","Chickpeas Sprouts",960,1425,48,285,"yes"
"R3042",5,"LOT3042 2021-09-13_5","2021-09-18","2021-09-19","3042","2021-09-13","IP3042","Alfalfa Sprouts",222,42,2,9,"no"
"R3043",95,"LOT3043 2022-09-23_95","2022-10-14","2022-10-14","3043","2022-09-23","IP3043","Green Lentil Sprouts",747,1025,34,205,"no"
"R3044",60,"LOT3044 2022-12-29_60","2023-01-22","2023-01-23","3044","2022-12-29","IP3044","Kidney-Bean Sprouts",546,650,22,130,"no"
"R3045",27,"LOT3045 2022-11-23_27","2022-12-16","2022-12-16","3045","2022-11-23","IP3045","Radish Srpouts",353,289,10,58,"no"
"R3046",56,"LOT3046 2021-09-22_56","2021-09-28","2021-09-29","3046","2021-09-22","IP3046","Kidney-Bean Sprouts",519,598,21,120,"no"
"R3047",53,"LOT3047 2022-12-12_53","2023-01-05","2023-01-05","3047","2022-12-12","IP3047","Kidney-Bean Sprouts",502,568,20,114,"no"
"R3048",49,"LOT3048 2022-05-24_49","2022-06-09","2022-06-09","3048","2022-05-24","IP3048","Wheatgrass Sprouts",478,522,18,105,"no"
