"Harvested_Date","IP_ID","Quantity","Ref_Person_Location_ID","IP_Date","Subsequent_ID","Outbreak"
"2022-03-18","3001",413,49,"2022-03-23","R3001","no"
"2023-03-03","3002",855,116,"2023-03-09","R3002","no"
"2023-01-03","3003",132,6,"2023-01-09","R3003","no"
"2023-03-20","3004",894,122,"2023-03-26","R3004","no"
"2022-06-11","3005",674,88,"2022-06-17","R3005","no"
"2023-03-05","3006",503,62,"2023-03-11","R3006","no"
"2021-10-11","3007",922,126,"2021-10-15","R3007","yes"
"2023-01-11","3008",768,103,"2023-01-17","R3008","no"
"2021-12-03","3009",379,43,"2021-12-07","R3009","no"
"2021-09-05","3010",280,28,"2021-09-09","R3010","no"
"2022-07-17","3011",237,22,"2022-07-22","R3011","no"
"2022-01-17","3012",426,51,"2022-01-22","R3012","no"
"2021-11-11","3013",355,40,"2021-11-15","R3013","no"
"2022-07-14","3014",946,130,"2022-07-19","R3014","yes"
"2022-12-14","3015",972,134,"2022-12-20","R3015","yes"
"2023-01-15","3016",154,9,"2023-01-21","R3016","no"
"2022-12-25","3017",987,136,"2022-12-30","R3017","yes"
"2022-04-16","3018",933,128,"2022-04-21","R3018","yes"
"2021-12-21","3019",770,103,"2021-12-25","R3019","no"
"2022-04-20","3020",290,30,"2022-04-25","R3020","no"
"2021-08-12","3021",437,52,"2021-08-16","R3021","no"
"2022-11-07","3022",743,99,"2022-11-12","R3022","no"
"2021-10-11","3023",744,99,"2021-10-16","R3023","no"
"2022-01-23","3024",230,21,"2022-01-28","R3024","no"
"2023-01-28","3025",266,26,"2023-02-03","R3025","no"
"2021-10-03","3026",883,120,"2021-10-07","R3026","no"
"2022-11-14","3027",573,73,"2022-11-20","R3027","no"
"2022-09-13","3028",616,80,"2022-09-18","R3028","no"
"2022-02-22","3029",591,76,"2022-02-27","R3029","no"
"2021-08-28","3030",440,53,"2021-09-01","R3030","no"
"2022-03-27","3031",212,18,"2022-04-01","R3031","no"
"2022-04-05","3032",476,58,"2022-04-10","R3032","no"
"2022-10-27","3033",186,14,"2022-11-02","R3033","no"
"2022-04-29","3034",333,36,"2022-05-04","R3034","no"
"2022-10-20","3035",328,36,"2022-10-25","R3035","no"
"2021-11-27","3036",900,123,"2021-12-01","R3036","no"
"2021-12-27","3037",562,71,"2021-12-31","R3037","no"
"2023-03-15","3038",541,68,"2023-03-21","R3038","no"
"2021-12-21","3039",825,111,"2021-12-26","R3039","no"
"2021-10-23","3040",290,30,"2021-10-28","R3040","no"
"2022-09-21","3041",955,131,"2022-09-26","R3041","yes"
"2021-09-14","3042",125,5,"2021-09-18","R3042","no"
"2022-10-08","3043",715,95,"2022-10-13","R3043","no"
"2023-01-16","3044",490,60,"2023-01-22","R3044","no"
"2022-12-09","3045",273,27,"2022-12-15","R3045","no"
"2021-09-24","3046",458,56,"2021-09-28","R3046","no"
"2022-12-29","3047",440,53,"2023-01-04","R3047","no"
"2022-06-03","3048",413,49,"2022-06-08","R3048","no"
"2022-07-23","3049",548,69,"2022-07-28","R3049","no"
"2022-04-12","3050",176,13,"2022-04-17","R3050","no"
"2023-01-28","3051",455,55,"2023-02-03","R3051","no"
"2022-09-03","3052",700,92,"2022-09-08","R3052","no"
"2022-12-27","3053",980,135,"2023-01-01","R3053","yes"
"2022-12-01","3054",685,90,"2022-12-07","R3054","no"
"2022-02-14","3055",833,113,"2022-02-18","R3055","no"
"2022-07-03","3056",319,34,"2022-07-08","R3056","no"
"2022-08-03","3057",149,8,"2022-08-08","R3057","no"
"2022-07-01","3058",442,53,"2022-07-07","R3058","no"
"2022-02-16","3059",776,104,"2022-02-21","R3059","no"
"2022-03-10","3060",401,47,"2022-03-14","R3060","no"
"2022-12-23","3061",133,6,"2022-12-29","R3061","no"
"2022-10-13","3062",998,138,"2022-10-19","R3062","yes"
"2023-01-05","3063",248,23,"2023-01-11","R3063","no"
"2023-02-22","3064",600,77,"2023-02-28","R3064","no"
"2022-03-22","3065",152,9,"2022-03-26","R3065","no"
"2023-02-17","3066",914,125,"2023-02-23","R3066","yes"
"2022-04-27","3067",600,77,"2022-05-02","R3067","no"
"2022-12-21","3068",554,70,"2022-12-26","R3068","no"
"2022-12-06","3069",729,97,"2022-12-12","R3069","no"
"2022-02-18","3070",314,34,"2022-02-23","R3070","no"
"2022-09-09","3071",394,46,"2022-09-14","R3071","no"
"2022-02-19","3072",744,99,"2022-02-24","R3072","no"
"2022-10-13","3073",450,54,"2022-10-18","R3073","no"
"2022-04-26","3074",998,138,"2022-05-01","R3074","yes"
"2022-08-20","3075",256,25,"2022-08-25","R3075","no"
"2022-06-25","3076",988,136,"2022-06-30","R3076","yes"
"2021-12-18","3077",383,44,"2021-12-23","R3077","no"
"2022-01-01","3078",456,55,"2022-01-05","R3078","no"
"2023-01-18","3079",801,108,"2023-01-23","R3079","no"
"2022-12-20","3080",920,126,"2022-12-26","R3080","yes"
"2022-06-23","3081",914,125,"2022-06-28","R3081","yes"
"2023-03-17","3082",635,83,"2023-03-23","R3082","no"
"2021-08-12","3083",234,21,"2021-08-16","R3083","no"
"2022-01-02","3084",845,114,"2022-01-06","R3084","no"
"2021-08-22","3085",235,21,"2021-08-26","R3085","no"
"2023-01-16","3086",101,1,"2023-01-22","R3086","no"
"2023-02-10","3087",477,58,"2023-02-16","R3087","no"
"2022-03-18","3088",392,45,"2022-03-23","R3088","no"
"2021-10-22","3089",927,127,"2021-10-26","R3089","yes"
"2023-03-12","3090",363,41,"2023-03-18","R3090","no"
"2021-10-23","3091",662,87,"2021-10-27","R3091","no"
"2022-05-24","3092",832,112,"2022-05-29","R3092","no"
"2022-10-22","3093",273,27,"2022-10-28","R3093","no"
"2022-02-17","3094",532,67,"2022-02-22","R3094","no"
"2022-12-08","3095",938,129,"2022-12-13","R3095","yes"
"2021-10-24","3096",736,98,"2021-10-29","R3096","no"
"2022-12-23","3097",638,83,"2022-12-28","R3097","no"
"2022-05-13","3098",424,50,"2022-05-18","R3098","no"
"2022-11-30","3099",171,12,"2022-12-06","R3099","no"
"2022-06-23","3100",268,27,"2022-06-28","R3100","no"
"2022-08-05","3101",953,131,"2022-08-11","R3101","yes"
"2021-12-24","3102",893,122,"2021-12-29","R3102","no"
"2022-08-29","3103",410,48,"2022-09-04","R3103","no"
"2023-02-05","3104",631,82,"2023-02-10","R3104","no"
"2021-12-05","3105",553,70,"2021-12-10","R3105","no"
"2022-05-15","3106",173,12,"2022-05-20","R3106","no"
"2021-12-19","3107",252,24,"2021-12-23","R3107","no"
"2023-01-21","3108",102,1,"2023-01-27","R3108","no"
"2021-12-04","3109",628,81,"2021-12-08","R3109","no"
"2021-11-01","3110",534,67,"2021-11-05","R3110","no"
"2022-06-22","3111",708,94,"2022-06-27","R3111","no"
"2023-01-02","3112",742,99,"2023-01-07","R3112","no"
"2022-08-03","3113",760,102,"2022-08-09","R3113","no"
"2022-07-13","3114",136,7,"2022-07-18","R3114","no"
"2021-08-25","3115",755,101,"2021-08-29","R3115","no"
"2022-05-11","3116",846,115,"2022-05-16","R3116","no"
"2022-09-24","3117",124,5,"2022-09-29","R3117","no"
"2022-01-03","3118",992,137,"2022-01-08","R3118","yes"
"2021-10-23","3119",854,116,"2021-10-27","R3119","no"
"2022-03-09","3120",531,67,"2022-03-13","R3120","no"
"2021-08-30","3121",473,58,"2021-09-03","R3121","no"
"2021-12-14","3122",331,36,"2021-12-18","R3122","no"
"2022-12-18","3123",262,26,"2022-12-23","R3123","no"
"2021-11-20","3124",752,100,"2021-11-25","R3124","no"
"2022-05-26","3125",829,112,"2022-05-31","R3125","no"
"2022-09-10","3126",437,52,"2022-09-16","R3126","no"
"2022-07-22","3127",292,30,"2022-07-28","R3127","no"
"2021-09-07","3128",552,70,"2021-09-11","R3128","no"
"2023-01-05","3129",541,68,"2023-01-11","R3129","no"
"2022-06-20","3130",339,37,"2022-06-25","R3130","no"
"2022-10-07","3131",938,129,"2022-10-13","R3131","yes"
"2022-10-24","3132",715,95,"2022-10-29","R3132","no"
"2022-09-19","3133",883,120,"2022-09-25","R3133","no"
"2023-03-06","3134",599,77,"2023-03-12","R3134","no"
"2022-07-08","3135",593,76,"2022-07-13","R3135","no"
"2022-10-06","3136",613,79,"2022-10-12","R3136","no"
"2022-03-05","3137",136,7,"2022-03-10","R3137","no"
"2021-12-25","3138",597,77,"2021-12-30","R3138","no"
"2022-01-24","3139",556,70,"2022-01-29","R3139","no"
"2022-08-26","3140",105,2,"2022-09-01","R3140","no"
"2021-12-04","3141",571,73,"2021-12-09","R3141","no"
"2022-08-14","3142",532,67,"2022-08-20","R3142","no"
"2023-02-16","3143",178,13,"2023-02-22","R3143","no"
"2022-06-18","3144",617,80,"2022-06-23","R3144","no"
"2022-01-06","3145",654,85,"2022-01-11","R3145","no"
"2022-10-12","3146",959,132,"2022-10-17","R3146","yes"
"2021-11-13","3147",520,65,"2021-11-17","R3147","no"
"2022-05-28","3148",327,35,"2022-06-02","R3148","no"
"2021-11-11","3149",381,44,"2021-11-16","R3149","no"
"2022-03-04","3150",392,45,"2022-03-09","R3150","no"
"2022-04-13","3151",193,15,"2022-04-18","R3151","no"
"2022-08-23","3152",325,35,"2022-08-28","R3152","no"
"2022-08-30","3153",351,39,"2022-09-04","R3153","no"
"2022-03-21","3154",916,125,"2022-03-26","R3154","yes"
"2021-12-05","3155",465,56,"2021-12-09","R3155","no"
"2023-03-05","3156",788,106,"2023-03-11","R3156","no"
"2022-08-03","3157",559,71,"2022-08-08","R3157","no"
"2023-03-10","3158",839,113,"2023-03-16","R3158","no"
"2022-01-23","3159",317,34,"2022-01-28","R3159","no"
"2022-06-03","3160",780,105,"2022-06-08","R3160","no"
"2022-12-28","3161",426,51,"2023-01-02","R3161","no"
"2022-04-15","3162",703,93,"2022-04-20","R3162","no"
"2022-05-28","3163",587,75,"2022-06-02","R3163","no"
"2022-01-02","3164",919,126,"2022-01-07","R3164","yes"
"2022-07-04","3165",471,57,"2022-07-09","R3165","no"
"2022-11-05","3166",977,135,"2022-11-11","R3166","yes"
"2022-03-17","3167",379,43,"2022-03-22","R3167","no"
"2021-12-13","3168",504,63,"2021-12-18","R3168","no"
"2022-02-08","3169",218,19,"2022-02-13","R3169","no"
"2022-09-24","3170",927,127,"2022-09-30","R3170","yes"
"2021-11-25","3171",739,98,"2021-11-29","R3171","no"
"2022-02-28","3172",557,71,"2022-03-05","R3172","no"
"2021-10-11","3173",785,105,"2021-10-15","R3173","no"
"2023-01-12","3174",710,94,"2023-01-18","R3174","no"
"2023-03-17","3175",525,66,"2023-03-23","R3175","no"
"2022-05-29","3176",451,54,"2022-06-03","R3176","no"
"2021-10-25","3177",869,118,"2021-10-29","R3177","no"
"2022-11-15","3178",378,43,"2022-11-21","R3178","no"
"2021-10-14","3179",802,108,"2021-10-18","R3179","no"
"2023-01-22","3180",213,18,"2023-01-28","R3180","no"
"2021-09-02","3181",892,122,"2021-09-06","R3181","no"
"2022-04-23","3182",961,132,"2022-04-28","R3182","yes"
"2022-12-18","3183",967,133,"2022-12-24","R3183","yes"
"2021-11-09","3184",469,57,"2021-11-13","R3184","no"
"2022-02-18","3185",980,135,"2022-02-23","R3185","yes"
"2022-02-17","3186",921,126,"2022-02-21","R3186","yes"
"2023-03-04","3187",795,107,"2023-03-10","R3187","no"
"2022-09-17","3188",266,26,"2022-09-23","R3188","no"
"2023-02-03","3189",451,54,"2023-02-09","R3189","no"
"2022-04-11","3190",889,121,"2022-04-16","R3190","no"
"2022-12-17","3191",775,104,"2022-12-23","R3191","no"
"2021-12-09","3192",829,112,"2021-12-13","R3192","no"
"2022-07-16","3193",460,56,"2022-07-21","R3193","no"
"2021-10-16","3194",684,90,"2021-10-20","R3194","no"
"2021-10-10","3195",310,33,"2021-10-14","R3195","no"
"2022-02-05","3196",166,11,"2022-02-10","R3196","no"
"2023-02-19","3197",628,81,"2023-02-25","R3197","no"
"2022-12-25","3198",405,47,"2022-12-31","R3198","no"
"2022-04-21","3199",829,112,"2022-04-26","R3199","no"
"2022-10-10","3200",991,137,"2022-10-16","R3200","yes"
"2022-05-19","3201",144,8,"2022-05-24","R3201","no"
"2022-06-05","3202",179,13,"2022-06-10","R3202","no"
"2022-06-02","3203",677,89,"2022-06-07","R3203","no"
"2021-12-15","3204",730,97,"2021-12-20","R3204","no"
"2021-11-06","3205",860,117,"2021-11-10","R3205","no"
"2022-03-08","3206",365,41,"2022-03-13","R3206","no"
"2021-10-08","3207",928,127,"2021-10-13","R3207","yes"
"2021-09-11","3208",638,83,"2021-09-15","R3208","no"
"2021-10-28","3209",324,35,"2021-11-02","R3209","no"
"2023-01-09","3210",321,35,"2023-01-15","R3210","no"
"2022-10-18","3211",882,120,"2022-10-23","R3211","no"
"2022-12-22","3212",260,25,"2022-12-28","R3212","no"
"2022-08-31","3213",662,86,"2022-09-05","R3213","no"
"2022-09-04","3214",198,16,"2022-09-09","R3214","no"
"2022-10-29","3215",209,18,"2022-11-03","R3215","no"
"2022-02-23","3216",998,138,"2022-02-27","R3216","yes"
"2022-10-29","3217",632,82,"2022-11-04","R3217","no"
"2022-03-26","3218",348,39,"2022-03-31","R3218","no"
"2022-06-04","3219",107,2,"2022-06-09","R3219","no"
"2022-03-20","3220",636,83,"2022-03-25","R3220","no"
"2022-07-11","3221",955,131,"2022-07-16","R3221","yes"
"2022-06-11","3222",185,14,"2022-06-16","R3222","no"
"2022-05-24","3223",356,40,"2022-05-29","R3223","no"
"2023-02-20","3224",217,19,"2023-02-26","R3224","no"
"2022-11-06","3225",356,40,"2022-11-11","R3225","no"
"2021-10-28","3226",245,23,"2021-11-01","R3226","no"
"2021-12-22","3227",170,12,"2021-12-26","R3227","no"
"2021-12-25","3228",144,8,"2021-12-30","R3228","no"
"2022-11-13","3229",501,62,"2022-11-19","R3229","no"
"2021-08-27","3230",513,64,"2021-08-31","R3230","no"
"2021-08-23","3231",463,56,"2021-08-27","R3231","no"
"2023-01-26","3232",168,11,"2023-01-31","R3232","no"
"2022-08-09","3233",293,30,"2022-08-14","R3233","no"
"2022-07-10","3234",812,109,"2022-07-15","R3234","no"
"2022-11-13","3235",459,56,"2022-11-19","R3235","no"
"2023-01-14","3236",444,53,"2023-01-20","R3236","no"
"2022-02-11","3237",341,38,"2022-02-16","R3237","no"
