"Date of Landing","Lot_ID","Product_Desc","Quantity","Harvesting_Details","Lot_ID_Desc","Outbreak"
"2022-03-09",3478,"Angel_Fish",343,"Lake Birchwood","LOT3478 2022-03-09 Lake Birchwood","no"
"2023-03-10",8386,"Cocktail Claws Carb Meat",687,"Fishing Pier","LOT8386 2023-03-10 Fishing Pier","yes"
"2023-01-07",360,"Salmon",125,"Outshore Fishing Area","LOT360 2023-01-07 Outshore Fishing Area","no"
"2023-03-27",8822,"Claws Crab Meat",718,"Aldred Pond","LOT8822 2023-03-27 Aldred Pond","yes"
"2022-06-06",6373,"Red_Snaper_Fish",546,"Horsepen Pond","LOT6373 2022-06-06 Horsepen Pond","no"
"2023-03-11",4479,"Cat_Fish",413,"Quail Ridge Lake Access","LOT4479 2023-03-11 Quail Ridge Lake Access","no"
"2021-09-25",9128,"COLOSSAL LUMP crab Meat",739,"Aldred Pond","LOT9128 2021-09-25 Aldred Pond","yes"
"2023-01-15",7419,"Lump Crab Meat",619,"Windmill Pond","LOT7419 2023-01-15 Windmill Pond","yes"
"2021-11-19",3097,"White_Fish",317,"Feild Point Fishing","LOT3097 2021-11-19 Feild Point Fishing","no"
"2021-08-18",2005,"Lobster",240,"Scout high point fishing","LOT2005 2021-08-18 Scout high point fishing","no"
"2022-07-13",1521,"Crab or Crab Meat",206,"Camp Area Fishing","LOT1521 2022-07-13 Camp Area Fishing","no"
"2022-01-06",3624,"Angel_Fish",354,"Lake Birchwood","LOT3624 2022-01-06 Lake Birchwood","no"
"2021-10-27",2834,"White_Fish",298,"Feild Point Fishing","LOT2834 2021-10-27 Feild Point Fishing","no"
"2022-07-10",9397,"COLOSSAL LUMP crab Meat",758,"Tippecanoe Lake","LOT9397 2022-07-10 Tippecanoe Lake","yes"
"2022-12-17",9685,"Item",778,"Tippecanoe Lake","LOT9685 2022-12-17 Tippecanoe Lake","yes"
"2023-01-19",604,"Shrimp",142,"Outshore Fishing Area","LOT604 2023-01-19 Outshore Fishing Area","no"
"2022-12-28",9859,"Item",790,"Tippecanoe Lake","LOT9859 2022-12-28 Tippecanoe Lake","yes"
"2022-04-09",9252,"COLOSSAL LUMP crab Meat",748,"Aldred Pond","LOT9252 2022-04-09 Aldred Pond","yes"
"2021-12-08",7445,"Lump Crab Meat",621,"Windmill Pond","LOT7445 2021-12-08 Windmill Pond","yes"
"2022-04-12",2108,"Tuna",247,"Scout high point fishing","LOT2108 2022-04-12 Scout high point fishing","no"
"2021-07-24",3741,"Ballon_Fish",362,"Lake Birchwood","LOT3741 2021-07-24 Lake Birchwood","no"
