"Received_Date","Quantity","Receiver_ID","Product_Desc","Location_from_ID","Location_to_ID","Subsequent_ID","Outbreak"
"2022-03-24",413,"R3001","Angel_Fish",49,18,"SHP3001","no"
"2023-03-10",855,"R3002","Cocktail Claws Carb Meat",116,1,"SHP3002","no"
"2023-01-10",132,"R3003","Salmon",6,31,"SHP3003","no"
"2023-03-27",894,"R3004","Claws Crab Meat",122,34,"SHP3004","no"
"2022-06-18",674,"R3005","Red_Snaper_Fish",88,1,"SHP3005","no"
"2023-03-12",503,"R3006","Cat_Fish",62,7,"SHP3006","no"
"2021-10-16",922,"R3007","COLOSSAL LUMP crab Meat",126,25,"SHP3007","yes"
"2023-01-18",768,"R3008","Lump Crab Meat",103,35,"SHP3008","no"
"2021-12-08",379,"R3009","White_Fish",43,20,"SHP3009","no"
"2021-09-10",280,"R3010","Lobster",28,11,"SHP3010","no"
"2022-07-23",237,"R3011","Crab or Crab Meat",22,14,"SHP3011","no"
"2022-01-23",426,"R3012","Angel_Fish",51,29,"SHP3012","no"
"2021-11-16",355,"R3013","White_Fish",40,22,"SHP3013","no"
"2022-07-20",946,"R3014","COLOSSAL LUMP crab Meat",130,22,"SHP3014","yes"
"2022-12-21",972,"R3015","Item",134,27,"SHP3015","yes"
"2023-01-22",154,"R3016","Shrimp",9,43,"SHP3016","no"
"2022-12-31",987,"R3017","Item",136,28,"SHP3017","yes"
"2022-04-22",933,"R3018","COLOSSAL LUMP crab Meat",128,23,"SHP3018","yes"
"2021-12-26",770,"R3019","Lump Crab Meat",103,36,"SHP3019","no"
"2022-04-26",290,"R3020","Tuna",30,29,"SHP3020","no"
"2021-08-17",437,"R3021","Ballon_Fish",52,5,"SHP3021","no"
"2022-11-13",743,"R3022","Jumbo Lump Crab MEat",99,3,"SHP3022","no"
"2021-10-17",744,"R3023","Jumbo Lump Crab MEat",99,49,"SHP3023","no"
"2022-01-29",230,"R3024","Crab or Crab Meat",21,47,"SHP3024","no"
"2023-02-04",266,"R3025","Lobster",26,6,"SHP3025","no"
"2021-10-08",883,"R3026","Claws Crab Meat",120,9,"SHP3026","no"
"2022-11-21",573,"R3027","File_Fish",73,25,"SHP3027","no"
"2022-09-19",616,"R3028","Frog_fish",80,12,"SHP3028","no"
"2022-02-28",591,"R3029","Frog_fish",76,49,"SHP3029","no"
"2021-09-02",440,"R3030","Ballon_Fish",53,25,"SHP3030","no"
"2022-04-02",212,"R3031","Crab or Crab Meat",18,39,"SHP3031","no"
"2022-04-11",476,"R3032","Ballon_Fish",58,44,"SHP3032","no"
"2022-11-03",186,"R3033","Shrimp",14,20,"SHP3033","no"
"2022-05-05",333,"R3034","Tuna",36,15,"SHP3034","no"
"2022-10-26",328,"R3035","Tuna",36,48,"SHP3035","no"
"2021-12-02",900,"R3036","Claws Crab Meat",123,22,"SHP3036","no"
"2022-01-01",562,"R3037","File_Fish",71,21,"SHP3037","no"
"2023-03-22",541,"R3038","File_Fish",68,20,"SHP3038","no"
"2021-12-27",825,"R3039","Cocktail Claws Carb Meat",111,43,"SHP3039","no"
"2021-10-29",290,"R3040","Tuna",30,29,"SHP3040","no"
"2022-09-27",955,"R3041","Item",131,21,"SHP3041","yes"
"2021-09-19",125,"R3042","Salmon",5,20,"SHP3042","no"
"2022-10-14",715,"R3043","Red_Snaper_Fish",95,48,"SHP3043","no"
"2023-01-23",490,"R3044","Cat_Fish",60,15,"SHP3044","no"
"2022-12-16",273,"R3045","Lobster",27,29,"SHP3045","no"
"2021-09-29",458,"R3046","Ballon_Fish",56,11,"SHP3046","no"
"2023-01-05",440,"R3047","Ballon_Fish",53,25,"SHP3047","no"
"2022-06-09",413,"R3048","Angel_Fish",49,16,"SHP3048","no"
"2022-07-29",548,"R3049","File_Fish",69,36,"SHP3049","no"
"2022-04-18",176,"R3050","Shrimp",13,29,"SHP3050","no"
"2023-02-04",455,"R3051","Ballon_Fish",55,28,"SHP3051","no"
"2022-09-09",700,"R3052","Red_Snaper_Fish",92,18,"SHP3052","no"
"2023-01-02",980,"R3053","Item",135,19,"SHP3053","yes"
"2022-12-08",685,"R3054","Red_Snaper_Fish",90,5,"SHP3054","no"
"2022-02-19",833,"R3055","Cocktail Claws Carb Meat",113,46,"SHP3055","no"
"2022-07-09",319,"R3056","Tuna",34,20,"SHP3056","no"
"2022-08-09",149,"R3057","Shrimp",8,45,"SHP3057","no"
"2022-07-08",442,"R3058","Ballon_Fish",53,15,"SHP3058","no"
"2022-02-22",776,"R3059","Lump Crab Meat",104,19,"SHP3059","no"
"2022-03-15",401,"R3060","Angel_Fish",47,33,"SHP3060","no"
"2022-12-30",133,"R3061","Salmon",6,26,"SHP3061","no"
"2022-10-20",998,"R3062","Item",138,29,"SHP3062","yes"
"2023-01-12",248,"R3063","Lobster",23,11,"SHP3063","no"
"2023-03-01",600,"R3064","Frog_fish",77,36,"SHP3064","no"
"2022-03-27",152,"R3065","Shrimp",9,41,"SHP3065","no"
"2023-02-24",914,"R3066","COLOSSAL LUMP crab Meat",125,31,"SHP3066","no"
"2022-05-03",600,"R3067","Frog_fish",77,13,"SHP3067","no"
"2022-12-27",554,"R3068","File_Fish",70,28,"SHP3068","no"
"2022-12-13",729,"R3069","Jumbo Lump Crab MEat",97,15,"SHP3069","no"
"2022-02-24",314,"R3070","Tuna",34,4,"SHP3070","no"
"2022-09-15",394,"R3071","Angel_Fish",46,34,"SHP3071","no"
"2022-02-25",744,"R3072","Jumbo Lump Crab MEat",99,44,"SHP3072","no"
"2022-10-19",450,"R3073","Ballon_Fish",54,29,"SHP3073","no"
"2022-05-02",998,"R3074","Item",138,38,"SHP3074","yes"
"2022-08-26",256,"R3075","Lobster",25,46,"SHP3075","no"
"2022-07-01",988,"R3076","Item",136,50,"SHP3076","yes"
"2021-12-24",383,"R3077","White_Fish",44,7,"SHP3077","no"
"2022-01-06",456,"R3078","Ballon_Fish",55,24,"SHP3078","no"
"2023-01-24",801,"R3079","Lump Crab Meat",108,23,"SHP3079","no"
"2022-12-27",920,"R3080","COLOSSAL LUMP crab Meat",126,15,"SHP3080","yes"
"2022-06-29",914,"R3081","COLOSSAL LUMP crab Meat",125,31,"SHP3081","no"
"2023-03-24",635,"R3082","Gold Fish",83,20,"SHP3082","no"
"2021-08-17",234,"R3083","Crab or Crab Meat",21,16,"SHP3083","no"
"2022-01-07",845,"R3084","Cocktail Claws Carb Meat",114,35,"SHP3084","no"
"2021-08-27",235,"R3085","Crab or Crab Meat",21,26,"SHP3085","no"
"2023-01-23",101,"R3086","Salmon",1,32,"SHP3086","no"
"2023-02-17",477,"R3087","Ballon_Fish",58,5,"SHP3087","no"
"2022-03-24",392,"R3088","Angel_Fish",45,16,"SHP3088","no"
"2021-10-27",927,"R3089","COLOSSAL LUMP crab Meat",127,38,"SHP3089","yes"
"2023-03-19",363,"R3090","White_Fish",41,24,"SHP3090","no"
"2021-10-28",662,"R3091","Gold Fish",87,27,"SHP3091","no"
"2022-05-30",832,"R3092","Cocktail Claws Carb Meat",112,33,"SHP3092","no"
"2022-10-29",273,"R3093","Lobster",27,47,"SHP3093","no"
"2022-02-23",532,"R3094","File_Fish",67,18,"SHP3094","no"
"2022-12-14",938,"R3095","COLOSSAL LUMP crab Meat",129,7,"SHP3095","yes"
"2021-10-30",736,"R3096","Jumbo Lump Crab MEat",98,15,"SHP3096","no"
"2022-12-29",638,"R3097","Gold Fish",83,49,"SHP3097","no"
"2022-05-19",424,"R3098","Angel_Fish",50,23,"SHP3098","no"
"2022-12-07",171,"R3099","Shrimp",12,33,"SHP3099","no"
"2022-06-29",268,"R3100","Lobster",27,37,"SHP3100","no"
"2022-08-12",953,"R3101","Item",131,14,"SHP3101","yes"
"2021-12-30",893,"R3102","Claws Crab Meat",122,35,"SHP3102","no"
