"Received_Date","Quantity","Receiver_ID","Product_Desc","Location_from_ID","Location_to_ID","Subsequent_ID","Outbreak"
"2022-07-08",413,"R3001","Angel_Fish",49,49,"SHP3001","no"
"2021-08-13",855,"R3002","Cocktail Claws Carb Meat",116,116,"SHP3002","yes"
"2021-09-18",132,"R3003","Salmon",6,6,"SHP3003","no"
"2021-11-24",894,"R3004","Claws Crab Meat",122,122,"SHP3004","yes"
"2022-04-21",674,"R3005","Red_Snaper_Fish",88,88,"SHP3005","no"
"2023-02-28",503,"R3006","Cat_Fish",62,62,"SHP3006","no"
"2022-04-08",922,"R3007","COLOSSAL LUMP crab Meat",126,126,"SHP3007","yes"
"2023-02-10",768,"R3008","Lump Crab Meat",103,103,"SHP3008","no"
"2022-09-08",379,"R3009","White_Fish",43,43,"SHP3009","no"
"2022-05-20",280,"R3010","Lobster",28,28,"SHP3010","no"
"2022-03-29",237,"R3011","Crab or Crab Meat",22,22,"SHP3011","no"
"2022-10-20",426,"R3012","Angel_Fish",51,51,"SHP3012","no"
"2023-03-26",355,"R3013","White_Fish",40,40,"SHP3013","no"
"2023-03-09",946,"R3014","COLOSSAL LUMP crab Meat",130,130,"SHP3014","yes"
"2022-05-07",972,"R3015","Item",134,134,"SHP3015","yes"
"2022-11-08",154,"R3016","Shrimp",9,9,"SHP3016","no"
"2021-10-23",987,"R3017","Item",136,136,"SHP3017","yes"
"2023-02-24",933,"R3018","COLOSSAL LUMP crab Meat",128,128,"SHP3018","yes"
"2023-02-27",770,"R3019","Lump Crab Meat",103,103,"SHP3019","no"
"2021-12-21",290,"R3020","Tuna",30,30,"SHP3020","no"
"2021-11-12",437,"R3021","Ballon_Fish",52,52,"SHP3021","no"
"2023-03-24",743,"R3022","Jumbo Lump Crab MEat",99,99,"SHP3022","no"
"2022-07-01",744,"R3023","Jumbo Lump Crab MEat",99,99,"SHP3023","no"
"2022-05-15",230,"R3024","Crab or Crab Meat",21,21,"SHP3024","no"
"2022-02-06",266,"R3025","Lobster",26,26,"SHP3025","no"
"2022-03-03",883,"R3026","Claws Crab Meat",120,120,"SHP3026","yes"
"2021-09-03",573,"R3027","File_Fish",73,73,"SHP3027","no"
"2022-07-17",616,"R3028","Frog_fish",80,80,"SHP3028","no"
"2021-10-14",591,"R3029","Frog_fish",76,76,"SHP3029","no"
"2022-10-05",440,"R3030","Ballon_Fish",53,53,"SHP3030","no"
"2022-05-23",212,"R3031","Crab or Crab Meat",18,18,"SHP3031","no"
"2023-03-13",476,"R3032","Ballon_Fish",58,58,"SHP3032","no"
"2022-01-10",186,"R3033","Shrimp",14,14,"SHP3033","no"
"2022-02-20",333,"R3034","Tuna",36,36,"SHP3034","no"
"2021-10-15",328,"R3035","Tuna",36,36,"SHP3035","no"
"2022-08-19",900,"R3036","Claws Crab Meat",123,123,"SHP3036","yes"
"2022-05-03",562,"R3037","File_Fish",71,71,"SHP3037","no"
"2021-09-12",541,"R3038","File_Fish",68,68,"SHP3038","no"
"2023-02-21",825,"R3039","Cocktail Claws Carb Meat",111,111,"SHP3039","yes"
"2022-02-20",290,"R3040","Tuna",30,30,"SHP3040","no"
"2021-09-05",955,"R3041","Item",131,131,"SHP3041","yes"
"2022-04-18",125,"R3042","Salmon",5,5,"SHP3042","no"
"2023-03-27",715,"R3043","Red_Snaper_Fish",95,95,"SHP3043","no"
"2023-02-03",490,"R3044","Cat_Fish",60,60,"SHP3044","no"
"2021-09-27",273,"R3045","Lobster",27,27,"SHP3045","no"
"2022-04-20",458,"R3046","Ballon_Fish",56,56,"SHP3046","no"
"2023-03-06",440,"R3047","Ballon_Fish",53,53,"SHP3047","no"
"2023-03-14",413,"R3048","Angel_Fish",49,49,"SHP3048","no"
"2022-06-11",548,"R3049","File_Fish",69,69,"SHP3049","no"
"2023-01-31",176,"R3050","Shrimp",13,13,"SHP3050","no"
"2021-11-19",455,"R3051","Ballon_Fish",55,55,"SHP3051","no"
"2022-07-06",700,"R3052","Red_Snaper_Fish",92,92,"SHP3052","no"
"2021-09-03",980,"R3053","Item",135,135,"SHP3053","yes"
