Shiipped_Date,Lot_ID,Shipping_ID,Subsequent_ID,Harvesting_ID,Location_to_Shipping_ID,Location_to_ID,is_contaminated
3/23/2022,1,SP1,TR1,H1,51,51,FALSE
3/11/2023,2,SP2,TR2,H2,29,29,FALSE
1/10/2023,3,SP3,TR3,H3,15,15,FALSE
3/28/2023,4,SP4,TR4,H4,24,24,FALSE
6/18/2022,5,SP5,TR5,H5,68,68,FALSE
3/13/2023,6,SP6,TR6,H6,1,1,FALSE
10/15/2021,7,SP7,TR7,H7,67,67,FALSE
1/19/2023,8,SP8,TR8,H8,66,66,TRUE
12/8/2021,9,SP9,TR9,H9,66,66,FALSE
9/9/2021,10,SP10,TR10,H10,66,66,FALSE
7/23/2022,11,SP11,TR11,H11,28,28,FALSE
1/22/2022,12,SP12,TR12,H12,25,25,FALSE
11/16/2021,13,SP13,TR13,H13,21,21,FALSE
7/20/2022,14,SP14,TR14,H14,36,36,FALSE
12/21/2022,15,SP15,TR15,H15,9,9,FALSE
1/22/2023,16,SP16,TR16,H16,54,54,FALSE
1/1/2023,17,SP17,TR17,H17,47,47,FALSE
4/22/2022,18,SP18,TR18,H18,12,12,FALSE
12/26/2021,19,SP19,TR19,H19,27,27,TRUE
4/26/2022,20,SP20,TR20,H20,11,11,FALSE
8/16/2021,21,SP21,TR21,H21,49,49,FALSE
11/14/2022,22,SP22,TR22,H22,57,57,TRUE
10/16/2021,23,SP23,TR23,H23,1,1,TRUE
1/28/2022,24,SP24,TR24,H24,37,37,FALSE
2/5/2023,25,SP25,TR25,H25,52,52,FALSE
10/7/2021,26,SP26,TR26,H26,11,11,FALSE
11/21/2022,27,SP27,TR27,H27,34,34,FALSE
9/19/2022,28,SP28,TR28,H28,39,39,TRUE
2/28/2022,29,SP29,TR29,H29,41,41,FALSE
9/1/2021,30,SP30,TR30,H30,15,15,FALSE
4/1/2022,31,SP31,TR31,H31,44,44,FALSE
4/10/2022,32,SP32,TR32,H32,14,14,FALSE
11/3/2022,33,SP33,TR33,H33,2,2,FALSE
5/5/2022,34,SP34,TR34,H34,12,12,FALSE
10/27/2022,35,SP35,TR35,H35,13,13,FALSE
12/1/2021,36,SP36,TR36,H36,38,38,FALSE
1/1/2022,37,SP37,TR37,H37,68,68,FALSE
3/23/2023,38,SP38,TR38,H38,18,18,TRUE
12/26/2021,39,SP39,TR39,H39,28,28,FALSE
10/28/2021,40,SP40,TR40,H40,16,16,FALSE
9/28/2022,41,SP41,TR41,H41,31,31,TRUE
9/18/2021,42,SP42,TR42,H42,17,17,FALSE
10/15/2022,43,SP43,TR43,H43,62,62,FALSE
1/23/2023,44,SP44,TR44,H44,4,4,FALSE
12/17/2022,45,SP45,TR45,H45,42,42,FALSE
9/28/2021,46,SP46,TR46,H46,46,46,FALSE
1/6/2023,47,SP47,TR47,H47,9,9,TRUE
6/9/2022,48,SP48,TR48,H48,46,46,FALSE
7/29/2022,49,SP49,TR49,H49,69,69,FALSE
4/18/2022,50,SP50,TR50,H50,15,15,TRUE
2/5/2023,51,SP51,TR51,H51,27,27,FALSE
9/9/2022,52,SP52,TR52,H52,33,33,FALSE
1/3/2023,53,SP53,TR53,H53,24,24,FALSE
12/8/2022,54,SP54,TR54,H54,32,32,FALSE
2/19/2022,55,SP55,TR55,H55,36,36,FALSE
7/9/2022,56,SP56,TR56,H56,70,70,FALSE
8/9/2022,57,SP57,TR57,H57,44,44,TRUE
7/8/2022,58,SP58,TR58,H58,64,64,FALSE
2/21/2022,59,SP59,TR59,H59,36,36,TRUE
3/15/2022,60,SP60,TR60,H60,35,35,TRUE
12/31/2022,61,SP61,TR61,H61,31,31,FALSE
10/20/2022,62,SP62,TR62,H62,22,22,TRUE
1/13/2023,63,SP63,TR63,H63,50,50,FALSE
3/2/2023,64,SP64,TR64,H64,67,67,FALSE
3/27/2022,65,SP65,TR65,H65,15,15,FALSE
2/25/2023,66,SP66,TR66,H66,13,13,FALSE
5/3/2022,67,SP67,TR67,H67,39,39,FALSE
12/28/2022,68,SP68,TR68,H68,39,39,FALSE
12/13/2022,69,SP69,TR69,H69,42,42,FALSE
2/24/2022,70,SP70,TR70,H70,55,55,TRUE
9/16/2022,71,SP71,TR71,H71,49,49,FALSE
2/25/2022,72,SP72,TR72,H72,15,15,FALSE
10/19/2022,73,SP73,TR73,H73,19,19,FALSE
5/2/2022,74,SP74,TR74,H74,55,55,FALSE
8/26/2022,75,SP75,TR75,H75,17,17,FALSE
7/1/2022,76,SP76,TR76,H76,69,69,FALSE
12/23/2021,77,SP77,TR77,H77,56,56,FALSE
1/6/2022,78,SP78,TR78,H78,59,59,TRUE
1/25/2023,79,SP79,TR79,H79,12,12,FALSE
12/27/2022,80,SP80,TR80,H80,45,45,TRUE
6/29/2022,81,SP81,TR81,H81,2,2,FALSE
3/25/2023,82,SP82,TR82,H82,45,45,FALSE
8/16/2021,83,SP83,TR83,H83,15,15,TRUE
1/7/2022,84,SP84,TR84,H84,62,62,TRUE
8/26/2021,85,SP85,TR85,H85,50,50,FALSE
1/24/2023,86,SP86,TR86,H86,51,51,FALSE
2/18/2023,87,SP87,TR87,H87,36,36,FALSE
3/24/2022,88,SP88,TR88,H88,69,69,FALSE
10/26/2021,89,SP89,TR89,H89,12,12,FALSE
3/20/2023,90,SP90,TR90,H90,50,50,FALSE
10/27/2021,91,SP91,TR91,H91,58,58,TRUE
