"Date&Time","Harvesting_id","farm_name","subsequent_id","iph_id","item_name","quantity","location_id","field_id","mobile_id"
"2022-06-27T03:48:58","H1","Orchard Valley Farm","C1","1","cilantro",7336,51,8,37
"2023-02-23T07:51:51","H2","Burnt Mill Farm","C2","2","Tomatoes",4160,29,5,21
"2023-02-06T12:27:17","H3","Starview Farms","C3","3","kale",2156,15,3,11
"2022-03-30T17:31:54","H4","roland farms","C4","4","melons",3394,24,4,17
"2022-07-28T22:47:10","H5","Red Barn Farms","IPH5","5","sweet potato",9681,68,10,48
"2022-12-24T07:18:45","H6","Hidden gems Farm","C6","6","lettuce",161,1,1,1
"2022-11-13T09:05:54","H7","Red Barn Farms","IPH7","7","sweet potato",9641,67,10,48
"2022-06-03T01:00:40","H8","Meadowlark Farm","IPH8","8","sweet potato",9405,66,9,47
"2022-12-17T17:27:24","H9","Meadowlark Farm","IPH9","9","sweet potato",9477,66,10,47
"2022-06-28T06:07:31","H10","Meadowlark Farm","IPH10","10","sweet potato",9377,66,9,47
"2022-04-09T23:05:07","H11","Burnt Mill Farm","C11","11","Tomatoes",4032,28,5,20
"2022-04-15T19:24:06","H12","roland farms","C12","12","melons",3540,25,4,18
"2022-04-26T09:43:30","H13","scissortail farms","C13","13","melons",3011,21,4,15
"2022-07-12T12:08:47","H14","Green Acres Farm","C14","14","bell peppers",5114,36,6,26
"2022-05-24T12:59:50","H15","Cerritos Farm","C15","15","spinach",1248,9,2,7
"2022-12-18T19:45:58","H16","Sunnydale Farm","C16","16","cilantro",7728,54,8,39
"2022-05-15T09:45:11","H17","Sweetwater Farm ","C17","17","basil",6633,47,7,33
"2022-06-22T18:34:44","H18","Cerritos Farm","C18","18","kale",1652,12,2,9
"2022-08-03T19:06:08","H19","Burnt Mill Farm","C19","19","Tomatoes",3844,27,4,20
"2023-01-15T23:02:18","H20","Cerritos Farm","C20","20","spinach",1484,11,2,8
"2022-04-28T05:34:26","H21","Orchard Valley Farm","C21","21","basil",6980,49,7,35
"2022-09-30T03:57:22","H22","Meadowbrook Farm","C22","22","parsley",8072,57,8,40
"2023-03-21T06:31:04","H23","Hidden gems Farm","C23","23","lettuce",150,1,1,1
"2022-08-21T08:03:05","H24","Green Acres Farm","C24","24","bell peppers",5279,37,6,27
"2023-02-05T18:54:54","H25","Sunnydale Farm","C25","25","cilantro",7465,52,8,37
"2022-11-18T03:06:19","H26","Cerritos Farm","C26","26","spinach",1506,11,2,8
"2022-12-08T22:58:56","H27","Green Acres Farm","C27","27","Cucumbers",4869,34,5,25
"2023-01-18T21:11:47","H28","Sunny Fields Farm ","C28","28","bell peppers",5491,39,6,28
"2022-06-09T23:38:13","H29","Sunny Fields Farm ","C29","29","chili peppers",5813,41,6,29
"2022-05-01T21:16:17","H30","Starview Farms","C30","30","kale",2129,15,3,11
"2022-11-06T10:28:22","H31","Harvest Moon Farms","C31","31","chili peppers",6271,44,7,32
"2022-04-18T08:47:24","H32","Starview Farms","C32","32","kale",1929,14,3,10
"2022-09-13T08:32:48","H33","Hidden gems Farm","C33","33","lettuce",206,2,1,2
"2022-09-20T07:10:21","H34","Starview Farms","C34","34","kale",1694,12,2,9
"2022-06-06T07:56:21","H35","Starview Farms","C35","35","kale",1863,13,3,10
"2022-07-03T00:07:56","H36","Sunny Fields Farm ","C36","36","bell peppers",5450,38,6,27
"2023-01-04T15:10:31","H37","Red Barn Farms","IPH37","37","sweet potato",9741,68,10,49
"2022-11-26T04:02:25","H38","Potomac Vegetable Farms","C38","38","arugula",2530,18,3,13
"2023-03-20T04:12:30","H39","Burnt Mill Farm","C39","39","Tomatoes",4006,28,5,20
"2022-12-30T03:37:44","H40","Potomac Vegetable Farms","C40","40","arugula",2254,16,3,12
"2022-06-21T07:29:59","H41","Stonehall Farm","C41","41","Cucumbers",4377,31,5,22
"2022-05-23T19:27:28","H42","Potomac Vegetable Farms","C42","42","arugula",2408,17,3,12
"2022-03-28T04:08:36","H43","Deep Root Farms","IPH43","43","potato",8910,62,9,45
"2023-01-25T19:49:19","H44","Hidden gems Farm","C44","44","lettuce",479,4,1,3
"2022-11-30T13:16:39","H45","Harvest Moon Farms","C45","45","chili peppers",5965,42,6,30
"2022-06-06T16:42:32","H46","Sweetwater Farm ","C46","46","basil",6586,46,7,33
"2022-09-07T21:00:01","H47","Cerritos Farm","C47","47","spinach",1286,9,2,7
"2022-04-03T17:59:57","H48","Sweetwater Farm ","C48","48","basil",6560,46,7,33
"2022-10-21T08:36:10","H49","Red Barn Farms","IPH49","49","sweet potato",9845,69,10,49
"2022-05-24T21:46:01","H50","Starview Farms","C50","50","kale",2147,15,3,11
"2022-05-07T08:49:05","H51","Burnt Mill Farm","C51","51","Tomatoes",3809,27,4,19
"2022-06-05T14:23:59","H52","Stonehall Farm","C52","52","Cucumbers",4687,33,5,24
"2022-11-25T10:30:03","H53","roland farms","C53","53","melons",3403,24,4,17
"2022-06-26T19:02:47","H54","Stonehall Farm","C54","54","Cucumbers",4488,32,5,23
"2022-05-21T23:36:32","H55","Green Acres Farm","C55","55","bell peppers",5091,36,6,26
"2022-07-13T23:13:32","H56","Red Barn Farms","IPH56","56","sweet potato",9990,70,10,50
"2022-04-07T18:28","H57","Harvest Moon Farms","C57","57","chili peppers",6341,44,7,32
"2022-08-04T03:52:20","H58","Meadowlark Farm","IPH58","58","potato",9105,64,9,46
"2022-09-08T14:32:23","H59","Green Acres Farm","C59","59","bell peppers",5126,36,6,26
"2022-12-06T00:49:27","H60","Green Acres Farm","C60","60","Cucumbers",4965,35,5,25
"2022-04-24T22:38:45","H61","Stonehall Farm","C61","61","Cucumbers",4345,31,5,22
"2022-06-15T19:57:11","H62","scissortail farms","C62","62","melons",3150,22,4,16
"2022-05-07T17:35:16","H63","Orchard Valley Farm","C63","63","cilantro",7201,50,7,36
"2022-10-24T15:31:51","H64","Red Barn Farms","IPH64","64","sweet potato",9628,67,10,48
"2022-12-10T01:17:29","H65","Starview Farms","C65","65","kale",2174,15,3,11
"2023-02-02T03:13:03","H66","Starview Farms","C66","66","kale",1809,13,3,9
"2022-12-14T19:17:55","H67","Sunny Fields Farm ","C67","67","bell peppers",5535,39,6,28
"2022-12-22T02:41:38","H68","Sunny Fields Farm ","C68","68","bell peppers",5599,39,6,28
"2022-08-10T08:57:29","H69","Harvest Moon Farms","C69","69","chili peppers",5919,42,6,30
"2023-02-15T06:55:45","H70","Sunnydale Farm","C70","70","parsley",7913,55,8,40
"2022-04-22T18:01:38","H71","Orchard Valley Farm","C71","71","basil",7020,49,7,35
"2023-03-08T02:48:22","H72","Starview Farms","C72","72","kale",2126,15,3,11
"2022-07-03T08:54:08","H73","Potomac Vegetable Farms","C73","73","arugula",2624,19,3,13
"2022-03-24T12:26:44","H74","Sunnydale Farm","C74","74","cilantro",7801,55,8,39
"2023-03-14T07:53:32","H75","Potomac Vegetable Farms","C75","75","arugula",2328,17,3,12
"2022-07-24T13:32:56","H76","Red Barn Farms","IPH76","76","sweet potato",9833,69,10,49
"2022-08-14T09:25:32","H77","Meadowbrook Farm","C77","77","parsley",8056,56,8,40
"2023-03-17T23:35:23","H78","Meadowbrook Farm","C78","78","parsley",8380,59,9,42
"2023-01-17T01:20:51","H79","Starview Farms","C79","79","kale",1715,12,2,9
"2022-04-12T21:14:36","H80","Sweetwater Farm ","C80","80","chili peppers",6411,45,7,32
"2022-07-11T01:04:02","H81","Hidden gems Farm","C81","81","lettuce",187,2,1,1
"2022-12-19T22:04:31","H82","Harvest Moon Farms","C82","82","chili peppers",6349,45,7,32
"2022-06-25T16:44:13","H83","Starview Farms","C83","83","kale",2159,15,3,11
"2022-11-09T17:24:02","H84","Deep Root Farms","IPH84","84","potato",8816,62,9,44
"2022-11-12T15:33:32","H85","Orchard Valley Farm","C85","85","basil",7100,50,7,36
"2022-06-27T21:21:20","H86","Orchard Valley Farm","C86","86","cilantro",7261,51,8,36
"2023-03-04T11:06:30","H87","Green Acres Farm","C87","87","bell peppers",5144,36,6,26
"2023-03-07T09:15:59","H88","Red Barn Farms","IPH88","88","sweet potato",9872,69,10,49
"2022-10-31T14:09:23","H89","Cerritos Farm","C89","89","kale",1617,12,2,9
"2022-09-02T00:41:02","H90","Orchard Valley Farm","C90","90","basil",7135,50,7,36
"2022-05-22T17:08:54","H91","Meadowbrook Farm","C91","91","parsley",8257,58,8,41
"2023-02-21T12:00:55","H92","Cerritos Farm","C92","92","spinach",1324,10,2,7
"2022-06-08T21:19:39","H93","Harvest Moon Farms","C93","93","chili peppers",6208,44,7,31
"2022-09-07T03:27:38","H94","Green Acres Farm","C94","94","Cucumbers",4870,34,5,25
"2023-01-31T16:08:18","H95","Mena Farm","C95","95","spinach",1088,8,2,6
"2023-01-14T11:57:33","H96","Harvest Moon Farms","C96","96","chili peppers",6210,44,7,31
"2022-10-27T04:55:09","H97","Hidden gems Farm","C97","97","lettuce",378,3,1,2
"2023-01-16T16:34:40","H98","Harvest Moon Farms","C98","98","chili peppers",5955,42,6,30
"2022-04-08T12:00:22","H99","Mena Farm","C99","99","spinach",823,6,2,5
"2022-05-02T23:34:51","H100","Mena Farm","C100","100","spinach",833,6,2,5
"2023-02-09T10:36:46","H101","Sweetwater Farm ","C101","101","basil",6831,48,7,34
