"Date_of_Harvesting","Harvesting_id","Farmer_Name","Subsequent_ID","Initial_Packing_ID","Item_Name","Quantity","Location_ID","Field_ID","Mobile_ID","Outbreak"
"2022-03-10","H3001","Mary's Dairy Store","C3001","3001","Cheese Curds Cheese",413,49,16,105,"No"
"2023-02-12","H3002","Nebraska Cheese Stop","C3002","3002","Havati Cheese",855,116,38,252,"Yes"
"2022-12-17","H3003","Bielers Cheese","C3003","3003","Mozarilla Cheese",132,6,3,12,"No"
"2023-02-28","H3004","Popping Plaza","C3004","3004","Jarlsberg Cheese",894,122,40,265,"Yes"
"2022-06-01","H3005","Waiter for CHeese","C3005","3005","Emmental Cheese",674,88,29,192,"No"
"2023-02-13","H3006","Carnival Cheese","C3006","3006","Colby Cheese",503,62,21,135,"No"
"2021-10-08","H3007","Seige at the Cheese","C3007","3007","Limburger Cheese",922,126,41,274,"Yes"
"2022-12-25","H3008","International Cheese Market","C3008","3008","Farmer Made Organic Cheese",768,103,34,223,"No"
"2021-11-29","H3009","waldows Cheese","C3009","3009","Cheddar Mix Cheese",379,43,15,94,"No"
"2021-09-03","H3010","Clover Hill Dairy","C3010","3010","Brie Cheese",280,28,10,61,"No"
"2022-07-05","H3011","The Great Cheese","C3011","3011","Bocconcini Cheese",237,22,8,46,"No"
"2022-01-12","H3012","Mary's Dairy Store","C3012","3012","Pepper Jack Cheese",426,51,17,109,"No"
"2021-11-07","H3013","waldows Cheese","C3013","3013","Camembert Cheese",355,40,13,86,"No"
"2022-07-02","H3014","Cheese Lovers","C3014","3014","Monterey Jack Cheese",946,130,42,282,"Yes"
"2022-11-27","H3015","Cheese Lovers","C3015","3015","Item",972,134,44,291,"Yes"
"2022-12-28","H3016","Bielers Cheese","C3016","3016","Mozarilla Cheese",154,9,4,19,"No"
"2022-12-08","H3017","Item","C3017","3017","Item",987,136,44,296,"Yes"
"2022-04-08","H3018","Seige at the Cheese","C3018","3018","Limburger Cheese",933,128,42,278,"Yes"
"2021-12-16","H3019","International Cheese Market","C3019","3019","Farmer Made Organic Cheese",770,103,34,224,"No"
"2022-04-11","H3020","Clover Hill Dairy","C3020","3020","Brie Cheese",290,30,10,64,"No"
"2021-08-11","H3021","Mary's Dairy Store","C3021","3021","Pepper Jack Cheese",437,52,17,113,"No"
"2022-10-22","H3022","Stellum Cheese Museum","C3022","3022","Gorgonzola Cheese",743,99,32,215,"No"
"2021-10-09","H3023","Stellum Cheese Museum","C3023","3023","Farmer Made Organic Cheese",744,99,32,215,"No"
"2022-01-17","H3024","The Great Cheese","C3024","3024","Bocconcini Cheese",230,21,7,44,"No"
